metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.7,0.54,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/results.csv,"{'Lan-Bridge': 0.2199860440185533, 'JDExploreAcademy': 0.1941720863902957, 'M2M100_1.2B-B4': 0.036806635000879, 'Online-Y': 0.144341657856175, 'AISP-SJTU': 0.2091546362708923, 'comet_bestmbr': 0.2276812488010372, 'refA': 0.670976878564143, 'Online-W': 0.2390750038909878, 'LanguageX': 0.2329926222074446, 'HuaweiTSC': 0.3488394062209575, 'Online-B': 0.1436579866003896, 'bleu_bestmbr': 0.1155171218997983, 'Online-A': 0.1434080775755118, 'bleurt_bestmbr': 0.1906150819568289, 'Online-G': 0.2592224124725641, 'refB': 1.6364505499345183}"
BERTScore,0.717,0.574,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/results.csv,"{'Lan-Bridge': 0.923789309908804, 'JDExploreAcademy': 0.9224046721499424, 'M2M100_1.2B-B4': 0.9126096154352312, 'Online-Y': 0.9180252681830552, 'AISP-SJTU': 0.9215100754297908, 'comet_bestmbr': 0.9229500363754338, 'refA': 0.95498771739211, 'Online-W': 0.9259360832266276, 'LanguageX': 0.9247946877534206, 'HuaweiTSC': 0.9301950607053872, 'Online-B': 0.9202051816833736, 'bleu_bestmbr': 0.9195054279357452, 'Online-A': 0.9180572483806008, 'bleurt_bestmbr': 0.9212948201720558, 'Online-G': 0.9243983841557216, 'refB': 1.0000000040988868}"
TER,0.742,0.483,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/results.csv,"{'Lan-Bridge': -0.6902815622161671, 'JDExploreAcademy': -0.6848319709355131, 'M2M100_1.2B-B4': -0.7335755373902512, 'Online-Y': -0.7326672721768089, 'AISP-SJTU': -0.7163184983348471, 'comet_bestmbr': -0.7284287011807448, 'refA': -0.51952770208901, 'Online-W': -0.6993642143505903, 'LanguageX': -0.6887677868604299, 'HuaweiTSC': -0.6642446260974871, 'Online-B': -0.6981531940660006, 'bleu_bestmbr': -0.6827126854374811, 'Online-A': -0.742960944595822, 'bleurt_bestmbr': -0.710868907054193, 'Online-G': -0.6972449288525583, 'refB': -0.0}"
BLEU,0.783,0.474,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/results.csv,"{'Lan-Bridge': 0.1891438916950835, 'JDExploreAcademy': 0.2030080658202181, 'M2M100_1.2B-B4': 0.1618124483904707, 'Online-Y': 0.1821630881278864, 'AISP-SJTU': 0.2019807106725036, 'comet_bestmbr': 0.1783294275276201, 'refA': 0.4149526516034438, 'Online-W': 0.2024020772646149, 'LanguageX': 0.2090064685420641, 'HuaweiTSC': 0.2457096456338211, 'Online-B': 0.1913519978275073, 'bleu_bestmbr': 0.1873680189332721, 'Online-A': 0.1729621247954524, 'bleurt_bestmbr': 0.1823777477954846, 'Online-G': 0.2176165868760347, 'refB': 1.0000000000000004}"
chrF,0.742,0.546,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/results.csv,"{'Lan-Bridge': 0.427566241664402, 'JDExploreAcademy': 0.4357971321613035, 'M2M100_1.2B-B4': 0.3592496964975826, 'Online-Y': 0.4105173376361895, 'AISP-SJTU': 0.4451709093607729, 'comet_bestmbr': 0.428364829004019, 'refA': 0.6009223881578657, 'Online-W': 0.4366333377429388, 'LanguageX': 0.4435442617237345, 'HuaweiTSC': 0.4582930776299, 'Online-B': 0.4271953610622439, 'bleu_bestmbr': 0.4250324514326543, 'Online-A': 0.4123059265459126, 'bleurt_bestmbr': 0.4233398281409669, 'Online-G': 0.4453350021891917, 'refB': 1.0}"
ZeroEdit,0.6,0.387,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/results.csv,"{'Lan-Bridge': 0.0200573065902578, 'JDExploreAcademy': 0.0057306590257879, 'M2M100_1.2B-B4': 0.0114613180515759, 'Online-Y': 0.0085959885386819, 'AISP-SJTU': 0.0057306590257879, 'comet_bestmbr': 0.0028653295128939, 'refA': 0.1518624641833811, 'Online-W': 0.0171919770773638, 'LanguageX': 0.0114613180515759, 'HuaweiTSC': 0.0343839541547277, 'Online-B': 0.0114613180515759, 'bleu_bestmbr': 0.0028653295128939, 'Online-A': 0.0057306590257879, 'bleurt_bestmbr': 0.0057306590257879, 'Online-G': 0.0143266475644699, 'refB': 1.0}"
GLEU,0.742,0.567,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/results.csv,"{'Lan-Bridge': 0.5245263165729434, 'JDExploreAcademy': 0.5164634078884687, 'M2M100_1.2B-B4': 0.4568509732592502, 'Online-Y': 0.5020107664258282, 'AISP-SJTU': 0.5305596304368215, 'comet_bestmbr': 0.5221343023339606, 'refA': 0.6976256634694168, 'Online-W': 0.5392726881409177, 'LanguageX': 0.5328655805514463, 'HuaweiTSC': 0.5648216352397112, 'Online-B': 0.5125597657814215, 'bleu_bestmbr': 0.509899668236452, 'Online-A': 0.5057768700697108, 'bleurt_bestmbr': 0.5144916305947027, 'Online-G': 0.5393149298974859, 'refB': 1.0}"
Average,0.742,0.503,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/universal_results.csv,"{'Lan-Bridge': 0.4292563608892285, 'JDExploreAcademy': 0.4279511441864794, 'M2M100_1.2B-B4': 0.383830261677757, 'Online-Y': 0.4086880008089885, 'AISP-SJTU': 0.4276015435323251, 'comet_bestmbr': 0.4200079782819573, 'refA': 0.5909016602856113, 'Online-W': 0.4345156358639094, 'LanguageX': 0.435628691552219, 'HuaweiTSC': 0.4633683500537913, 'Online-B': 0.4194927748057594, 'bleu_bestmbr': 0.4171023959376336, 'Online-A': 0.4062251318584855, 'bleurt_bestmbr': 0.4188104742361742, 'Online-G': 0.4390511182952324, 'refB': 1.0}"
Median,0.742,0.546,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/universal_results.csv,"{'Lan-Bridge': 0.427566241664402, 'JDExploreAcademy': 0.4357971321613035, 'M2M100_1.2B-B4': 0.3592496964975826, 'Online-Y': 0.4105173376361895, 'AISP-SJTU': 0.4451709093607729, 'comet_bestmbr': 0.428364829004019, 'refA': 0.6009223881578657, 'Online-W': 0.4366333377429388, 'LanguageX': 0.4435442617237345, 'HuaweiTSC': 0.4582930776299, 'Online-B': 0.4271953610622439, 'bleu_bestmbr': 0.4250324514326543, 'Online-A': 0.4123059265459126, 'bleurt_bestmbr': 0.4233398281409669, 'Online-G': 0.4453350021891917, 'refB': 1.0}"
Social Choice Theory,0.742,0.782,zh-en,conversation,zh-en.refB.txt-conversation,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.6340974212034385, 'JDExploreAcademy': -1.577650429799427, 'M2M100_1.2B-B4': -3.610315186246419, 'Online-Y': -2.043553008595989, 'AISP-SJTU': -1.5535816618911173, 'comet_bestmbr': -1.7942693409742125, 'refA': -0.8171919770773639, 'Online-W': -1.763896848137536, 'LanguageX': -1.3851002865329511, 'HuaweiTSC': -1.6813753581661897, 'Online-B': -1.5985673352435532, 'bleu_bestmbr': -1.6432664756446995, 'Online-A': -2.3048710601719202, 'bleurt_bestmbr': -1.5467048710601727, 'Online-G': -1.6114613180515758, 'refB': -0.9593123209169054}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/conversation/nlp-telescope-scores/zh-en-conversation/zh-en.refB.txt-conversation/universal_results.csv,"{'Lan-Bridge': 89.0, 'JDExploreAcademy': 86.0, 'M2M100_1.2B-B4': 26.0, 'Online-Y': 49.0, 'AISP-SJTU': 83.0, 'comet_bestmbr': 71.0, 'refA': 133.0, 'Online-W': 102.0, 'LanguageX': 104.0, 'HuaweiTSC': 126.0, 'Online-B': 69.0, 'bleu_bestmbr': 63.0, 'Online-A': 42.0, 'bleurt_bestmbr': 64.0, 'Online-G': 110.0, 'refB': 140.0}"
