,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, it is not yet possible to say with absolute certainty whether it can cause a more severe course, to which vaccination or post-infectious immunity obtained by previous disease helps against it.","whether:male, illness:female","whether:male, or:male"
1,121,"I’d say that I am not racist, I don't care if someone is white, black, yellow, blue or whatever, as long as they behave as they should in a decent society (working, going about your business, not beating women, just normal behavior).","I say myself that I'm not racist, I don't care if someone is white, black, yellow, blue or otherwise as long as they behave the way they belong in a decent society (works, works, doesn't beat women, simply common behavior).","or:male, they:neutral, they:neutral, business:female, women:female","or:male, they:neutral, they:neutral, behavior:male, women:female"
2,126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","“The young woman suffered severe multiple injuries and, despite resuscitation care, unfortunately succumbed to her injuries at the scene,” Zuzana Fajtlová, a spokeswoman for South Bohemian health paramedics, told Pravo.","woman:female, her:female, spokesperson:neutral, for:male","woman:female, her:female, spokeswoman:female, for:male"
3,129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After colliding with Skoda Octavia, the Peugeot vehicle ended up on its roof off the roadway, South Bohemian police spokeswoman Štěpánka Schwarzová described the accident.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
4,149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the data needed and filled them in on time, we would be about half of it here, says Matyáš Vitík, a spokesman for the Czech Post.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
5,372,"""It's a form of escape for the audience and a way to feel a little bit of peace for at least two hours in the midst of all the holiday madness and craziness of the world we've been living in for the last few years,"" Gray added.","'For viewers, it's a form of escapism and a way for at least two hours to feel a bit of peace amid all the holiday madness and madness of the world we've been living in for the last couple of years, 'he added Gray.","for:male, for:male, madness:female, craziness:female","for:male, for:male, madness:female, 'for:male"
6,398,"(c) if by such act they violate an important duty arising out of their employment, profession, position or office or imposed on them by law; or","(c) if, by such an act, violate an important obligation arising from his employment, profession, position or function or imposed upon him by law; or","or:male, or:male, them:neutral, or:male","or:male, or:male, him:male, or:male"
7,449,"""We are still waiting for official confirmation of the variant in our six cases - it is being carried out by the National Reference Laboratory for Influenza and Non-Influenza Viruses of the National Institute of Public Health in Prague,"" the director said.","“We continue to wait for official confirmation of the variant in our six cases — it is carried out by the National Reference Laboratory for Influenza and Nonspray Viruses of the State Institute of Health in Prague,” she said headmistress.","for:male, for:male, director:male","for:male, for:male, headmistress:female"
8,484,And the other things they’re going to need to survive?,And the other things he will necessarily need to live?,"other:male, they:neutral","other:male, he:male"
9,642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right away,” Andrea replied on Instagram in Stories to all kinds of questions from curious fans, what disappointed her so much about Kadri that she decided to quit all contact and even block it on social networks.","reason:male, he:male, her:female, she:female","reason:male, she:female, her:female, she:female"
