,reference,system output,identity term and its gender in reference,identity term and its gender in output
1,A desenvolvedora discutiu com ê designer porque ela não gostou do design.,O desenvolvedor discutiu com o designer porque ela não gostou do design.,"a:female, desenvolvedora:female, ela:female, design:male","o:male, desenvolvedor:male, ela:female, design:male"
2,A mecânica deu um presente para ê balconista porque ela ganhou na loteria.,O mecânico deu um presente para a balconista porque ela ganhou na loteria.,"a:female, mecânica:female, um:male, presente:male, ela:female, loteria:female","a:female, mecânico:male, um:male, presente:male, ela:female, loteria:female"
5,O cabeleireiro fez amizade com ê cozinheire porque gostava da comida.,O cabeleireiro fez amizade com o cozinheiro porque gostava da comida.,"o:male, cabeleireiro:male, amizade:female, ê:neutral, comida:female","o:male, cabeleireiro:male, amizade:female, o:male, comida:female"
7,Ê cabeleireire fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,A cabeleireira fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,"cabeleireire:neutral, amizade:female, a:female, cozinheira:female, ela:female, o:male","cabeleireira:female, amizade:female, a:female, cozinheira:female, ela:female, o:male"
8,Ê auditore pegou a desenvolvedora trapaceando porque ela é desonesta.,O auditor pegou a incorporadora trapaceando porque ela é desonesta.,"auditore:neutral, a:female, desenvolvedora:female, ela:female","auditor:male, a:female, incorporadora:female, ela:female"
10,Ê mecânique deu um presente ao balconista porque era seu aniversário.,O mecânico deu um presente ao balconista porque era seu aniversário.,"mecânique:neutral, um:male, presente:male, balconista:female, seu:male","mecânico:male, um:male, presente:male, balconista:female, seu:male"
11,Ê chefe deu uma gorjeta ao governante porque ele foi prestativa.,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,"ê:neutral, chefe:neutral, uma:female, gorjeta:female, ele:male","o:male, chefe:neutral, uma:female, gorjeta:female, ela:female"
12,Ê movedore ultrapassou o cabeleireiro porque não se sentia bem.,O motorista ultrapassou o cabeleireiro porque não se sentia bem.,ê:neutral,o:male
14,Ê assistente riu da zeladora porque ela contou uma piada engraçada.,A assistente riu da zeladora porque ela contou uma piada engraçada.,"ê:neutral, assistente:neutral, ela:female, uma:female, piada:female","a:female, assistente:neutral, ela:female, uma:female, piada:female"
15,Ê padeire gritou com a movedora porque ela quebrou o fogão.,O padeiro gritou com a mudança porque ela quebrou o fogão.,"ê:neutral, a:female, ela:female, o:male, fogão:male","o:male, a:female, ela:female, o:male, fogão:male"
16,Ê desenvolvedore discutiu com o designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"desenvolvedore:neutral, o:male, designer:neutral, sua:female, ideia:female","desenvolvedor:male, o:male, designer:neutral, sua:female, ideia:female"
17,Ê advogade gritou com o cabeleireiro porque ele fez um péssimo trabalho.,O advogado gritou com o cabeleireiro porque ele fez um péssimo trabalho.,"ê:neutral, o:male, cabeleireiro:male, ele:male, um:male, trabalho:male","o:male, o:male, cabeleireiro:male, ele:male, um:male, trabalho:male"
18,Ê vendedore conversou com o limpador porque queria comprar um aspirador.,O vendedor conversou com a faxineira porque queria comprar um aspirador.,"ê:neutral, vendedore:neutral, o:male, limpador:male, um:male","o:male, vendedor:male, a:female, aspirador:male, um:male"
19,Ê assistente digitalizou documentos para a analista porque ela pediu.,A assistente digitalizou documentos para a analista porque ela pediu.,"ê:neutral, assistente:neutral, documentos:male, a:female, ela:female","a:female, assistente:neutral, documentos:male, a:female, ela:female"
20,Ê enfermeire estava fugindo da trabalhadora porque ela cheirava mal.,A enfermeira estava fugindo do trabalhador porque ela cheirava mal.,"ê:neutral, enfermeire:neutral","a:female, enfermeira:female"
21,Ê limpadore está furiose com a cozinheira porque ela sujou a cozinha de novo.,A faxineira está furiosa com a cozinheira porque ela sujou a cozinha de novo.,"ê:neutral, a:female, ela:female, a:female, cozinha:female","a:female, a:female, ela:female, a:female, cozinha:female"
22,"Ê agricultore ofereceu maçãs para a governanta, porque ela poderia gostar.","O fazendeiro ofereceu maçãs para a governanta, porque ela poderia gostar.","ê:neutral, governanta:female, ela:female","o:male, governanta:female, ela:female"
23,Ê agricultore correu mais rápido que o alfaiate porque era mais fraco.,O fazendeiro correu mais rápido que o alfaiate porque era mais fraco.,"ê:neutral, o:male","o:male, o:male"
24,"Ê vendedore tentou enganar o escritor, mas percebeu o truque.","O vendedor tentou enganar o escritor, mas percebeu o truque.","ê:neutral, vendedore:neutral, o:male, escritor:male","o:male, vendedor:male, o:male, escritor:male"
25,Ê secretárie foi a uma reunião com a trabalhadora da construção porque ela tinha um contrato para construir uma casa.,A secretária foi a uma reunião com o pedreiro porque ela tinha um contrato para construir uma casa.,"ê:neutral, secretárie:neutral, uma:female, a:female, ela:female, um:male, casa:female","a:female, secretária:female, uma:female, o:male, ela:female, um:male, casa:female"
