,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,"O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie, em Halifax, Nova Scotia, e presidente da divisão clínica e científica da Canadian Diabetes Association, avisou que a pesquisa ainda está no seu início.","o:male, médico:male, professor:male, divisão:male, clínica:female, científica:female, o:male","o:male, clínica:female, professor:male, divisão:male, científica:female, que:neutral, a:female"
3,"Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Tal como outros especialistas, ele é cético sobre se o diabetes pode ser curado, notando que estas descobertas não têm qualquer relevancia para pessoas que já têm diabetes de Tipo 1.","outros:male, ele:male, cético:male, a:female, que:neutral, não:male, pessoas:neutral, que:neutral","outros:male, ele:male, cético:male, o:male, que:neutral, não:male, pessoas:neutral, que:neutral"
4,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","No luns, Sara Danius, a secretária permanente do Comité Nobel pela Literatura da Academia Suécia, anunciou publicamente, durante um programa de rádio na Sveriges Radio na Suécia, que o comité, que não conseguia alcançar Bob Dylan diretamente sobre a ganhação do Prémio Nobel pela Literatura de 2016, tinha abandonado os seus esforços para o alcançar.","secretária:female, sueca:female, um:male, que:neutral, o:male, a:female, seus:male","secretária:female, que:neutral, um:male, que:neutral, o:male, a:female, seus:male"
11,"Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Enquanto uma vacina experimental parece ser capaz de reduzir a mortalidade por ébola, até agora, nenhum medicamento tem sido claramente demonstrado apropriado para tratar a infeção existente.","embora:female, uma:female, a:female, o:male, nenhuma:female, infecção:male","por:male, uma:female, a:female, a:female, nenhum:male, infeção:male"
27,"A Turquia também assumiria a guarda de membros do Estado Islâmico que, como afirma a declaração, as nações europeias se recusaram a repatriar.","A Turquia também iria tomar conta da guarda de combatientes do ISIS capturados que, afirma a declaração, as nações europeias recusaram-se a repatriar.","a:female, a:female, islâmico:male, a:female, as:female","a:female, a:female, que:neutral, a:female, as:female"
29,. Cientistas afirmam que a plumagem superior desse animal era castanha e a parte inferior era clara ou carotenoide.,Os cientistas dizem que o plumage deste animal era de castanho-bruno no topo com uma parte de baixo de cor pálida ou carotenoida.,"que:neutral, a:female, superior:male","que:neutral, o:male, cor:male"
32,"A estrutura das penas sugere que não foram utilizadas em voo, mas sim, para se exibir ou regular a temperatura. Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra tem a plumagem de um adulto, e não a de um filhote.","A estrutura das pernas sugere que não foram usadas para o voo, mas sim para a regulação ou demonstração da temperatura. Os investigadores sugeriram que, apesar desta ser a cauda de um jovem dinossauro, a amostra mostra plumas adultos e não uma presa.","a:female, que:neutral, não:male, a:female, que:neutral, a:female, um:male, a:female, um:male, não:male","a:female, que:neutral, não:male, a:female, que:neutral, a:female, um:male, a:female, uma:female, não:male"
37,"Eles descobriram que o sol operava com o mesmo princípios básicos que outras estrelas: a atividade de todas as estrelas no sistema foi determinada por sua luminosidade, sua rotação e nada mais.","Descobriram que o Sol operava segundo os mesmos princípios básicos que outras estrelas: A atividade de todas as estrelas no sistema era conduzida pela sua luminosidade, pela sua rotação, e nada mais.","que:neutral, o:male, o:male, que:neutral, outras:female, as:female, sua:female, sua:female, rotação:male","que:neutral, o:male, a:female, que:neutral, outras:female, as:female, sua:female, sua:female, rotação:male"
50,"Ele adicionou que ""eles não devem, no entanto, ser solicitados a assumir obrigações que vão além de seu estágio de desenvolvimento, responsabilidade e capacidades.""","Ele acrescentou que ""não deveriam, no entanto, ser pedidos para assumirem responsabilidades que ultrapassam o seu estágio de desenvolvimento, responsabilidade e capacidades.""","ele:male, que:neutral, não:male, a:female, que:neutral, seu:male","ele:male, que:neutral, não:male, o:male, que:neutral, seu:male"
59,A crítica liberal sobre o esforço de reconstrução focou na concessão de contratos de reconstrução a pessoas com influência em Washington.,A crítica liberal do esforço de reconstrução focou-se na atribuição de contratos de reconstrução a percebidos internos de Washington.,"a:female, crítica:female, o:male, reconstrução:male, concessão:male, reconstrução:male","a:female, crítica:female, a:female, reconstrução:male, atribuição:male, reconstrução:male"
