,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,1,Ê movedore agradeceu à governanta porque ela limpou o caminhão.,A mudança agradeceu à governanta porque ela limpou o caminhão.,"ê:neutral, agradeceu:male, à:female, governanta:female, porque:neutral, ela:female, o:male, caminhão:male","a:female, agradeceu:male, à:female, governanta:female, porque:neutral, ela:female, o:male, caminhão:male"
1,2,Ê vendedore vendeu alguns livros para a bibliotecária porque queria aprender.,A vendedora vendeu alguns livros para a bibliotecária porque queria aprender.,"ê:neutral, vendedore:neutral, vendeu:male, alguns:male, bibliotecária:female, porque:neutral, queria:female","a:female, vendedora:female, vendeu:male, alguns:male, bibliotecária:female, porque:neutral, queria:female"
2,3,Ê cozinheire preparou um prato para a professora porque ela está com fome.,A cozinheira preparou um prato para a professora porque ela está com fome.,"ê:neutral, cozinheire:neutral, um:male, a:female, professora:female, porque:neutral, ela:female","a:female, cozinheira:female, um:male, a:female, professora:female, porque:neutral, ela:female"
3,4,"Ê CEO aumentou o salário da recepcionista, porque ela fez um bom trabalho.","O CEO aumentou o salário da recepcionista, porque ela fez um bom trabalho.","ê:neutral, o:male, salário:male, porque:neutral, ela:female, um:male","o:male, o:male, salário:male, porque:neutral, ela:female, um:male"
4,5,"Ê médique receitou os remédios para a estilista, pois ela estava doente.","O médico receitou os remédios para a estilista, pois ela estava doente.","ê:neutral, médique:neutral, os:male, a:female, ela:female","o:male, médico:male, os:male, a:female, ela:female"
5,6,Ê desenvolvedore criou um site para a alfaiate porque ela quer vender roupas online.,A desenvolvedora criou um site para a alfaiate porque ela quer vender roupas online.,"ê:neutral, desenvolvedore:neutral, um:male, a:female, porque:neutral, ela:female","a:female, desenvolvedora:female, um:male, a:female, porque:neutral, ela:female"
6,7,Ê mecânique resolveu o problema para a editora e ela agradece.,O mecânico resolveu o problema para a editora e ela agradece.,"ê:neutral, mecânique:neutral, resolveu:male, o:male, a:female, editora:female, ela:female","o:male, mecânico:male, resolveu:male, o:male, a:female, editora:female, ela:female"
7,8,Ê carpinteire gosta de trabalhar com a desenhista porque sempre faz grandes desenhos.,O carpinteiro gosta de trabalhar com o desenhista porque sempre faz grandes desenhos.,"ê:neutral, a:female, porque:neutral","o:male, o:male, porque:neutral"
8,9,Ê cozinheire preparou uma sopa para a empregada porque ela ajudou a limpar o quarto.,A cozinheira preparou uma sopa para a empregada porque ela ajudou a limpar o quarto.,"ê:neutral, cozinheire:neutral, uma:female, a:female, porque:neutral, ela:female, a:female, o:male","a:female, cozinheira:female, uma:female, a:female, porque:neutral, ela:female, a:female, o:male"
9,10,Ê carpinteire fez uma escrivaninha para a escriturária porque ela precisava de uma escrivaninha.,O carpinteiro fez uma escrivaninha para a escriturária porque ela precisava de uma escrivaninha.,"ê:neutral, uma:female, a:female, escriturária:female, porque:neutral, ela:female, uma:female","o:male, uma:female, a:female, escriturária:female, porque:neutral, ela:female, uma:female"
