,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,"O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Dalhousie University em Halifax, Nova Escócia e presidente da divisão clínica e científica da Associação Canadense de Diabetes, advertiu que a pesquisa ainda está em seus primeiros dias.","o:male, medicina:female, halifax:male, divisão:male, o:male","o:male, medicina:female, halifax:male, divisão:male, a:female"
3,"Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que esses achados não têm relevância para pessoas que já têm diabetes tipo 1.","outros:male, ele:male, a:female, pessoas:neutral, que:neutral, diabetes:female","outros:male, ele:male, o:male, pessoas:neutral, que:neutral, diabetes:female"
11,"Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Embora uma vacina experimental pareça capaz de reduzir a mortalidade do Ebola, até agora, nenhum medicamento foi claramente demonstrado adequado para tratar a infecção existente.","uma:female, vacina:female, a:female, mortalidade:female, o:male, nenhuma:female, infecção:male","uma:female, vacina:female, a:female, mortalidade:female, a:female, nenhum:male, infecção:male"
20,"Como membro da NSA, ele ajudou Carter na condução de assuntos diplomáticos mundiais, como o Acordo de Camp David, em 1978; a normalização das relações EUA-China no final dos anos 1970; a Revolução Iraniana, que levou à crise dos reféns em 1979; e a invasão soviética no Afeganistão, em 1979.","Como NSA, ele ajudou Carter a lidar diplomaticamente com assuntos mundiais, como os Acordos de Camp David, de 1978; normalizar as relações EUA-China pensou no final dos anos 1970; a Revolução Iraniana, que levou à crise de reféns do Irã, de 1979; e a invasão soviética do Afeganistão, de 1979.","o:male, camp:male, a:female, anos:male, que:neutral, crise:female, afeganistão:male","a:female, camp:male, a:female, anos:male, que:neutral, crise:female, afeganistão:male"
23,"As outras nomeações incluem Melhor Filme, Diretor, Fotografia, Figurino, Melhor Montagem, Trilha Sonora Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.","Os outros indicados incluem Melhor Filme, Direção, Cinematografia, Design de Vestuário, Edição de Filme, Gravação Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.","as:female, outras:female, filme:male, produção:male, som:male, som:male","os:male, outros:male, filme:male, produção:male, som:male, som:male"
31,"As penas dos dinossauros, conhecidas como raque, não têm uma haste bem desenvolvida, mas possuem outras características, como farpas e bárbulas. Em vista disso, os pesquisadores concluíram que a raque era possivelmente o resultado de um desenvolvimento evolutivo posterior a essas outras características.","Como as penas dos dinossauros não têm um eixo bem desenvolvido, chamado de rachis, mas têm outras características das penas - barbas e barbulas - os pesquisadores concluíram que o rachis era provavelmente um desenvolvimento evolutivo posterior que essas outras características.","as:female, dinossauros:male, uma:female, outras:female, características:female, os:male, a:female, um:male, outras:female, características:female","as:female, dinossauros:male, um:male, outras:female, características:female, os:male, o:male, um:male, outras:female, características:female"
32,"A estrutura das penas sugere que não foram utilizadas em voo, mas sim, para se exibir ou regular a temperatura. Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra tem a plumagem de um adulto, e não a de um filhote.","A estrutura das penas sugere que elas não foram usadas em vôo, mas sim para regulação de temperatura ou exibição.Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra mostra penugem adulta e não a de uma galinha.","a:female, estrutura:female, a:female, a:female, um:male, dinossauro:male, amostra:female, um:male","a:female, estrutura:female, a:female, a:female, um:male, dinossauro:male, amostra:female, uma:female"
34,"Na manhã de ontem, um carro-bomba explodiu na sede da polícia em Gaziantep, Turquia, matou dois policiais e feriu mais de vinte outras pessoas.","Uma bomba explodiu na sede da polícia em Gaziantep, na Turquia, na manhã de ontem, matando dois policiais e ferindo mais de vinte pessoas.","manhã:female, um:male, polícia:female, gaziantep:female, pessoas:neutral","manhã:female, uma:female, polícia:female, gaziantep:female, pessoas:neutral"
37,"Eles descobriram que o sol operava com o mesmo princípios básicos que outras estrelas: a atividade de todas as estrelas no sistema foi determinada por sua luminosidade, sua rotação e nada mais.","Eles descobriram que o Sol operava sobre os mesmos princípios básicos que as outras estrelas: A atividade de todas as estrelas no sistema foi encontrada para ser impulsionada por seu brilho, sua rotação, e nada mais.","o:male, sol:male, o:male, princípios:male, outras:female, todas:female, estrelas:female, sistema:male, sua:female, sua:female","o:male, sol:male, a:female, princípios:male, outras:female, todas:female, estrelas:female, sistema:male, sua:female, seu:male"
38,"A luminosidade e rotação são utilizadas em conjunto para definir o número de Rossby de uma estrela, o qual tem relação com o fluxo de plasma.","A luminosidade e a rotação são usadas juntas para determinar o número de Rossby de uma estrela, que está relacionado ao fluxo de plasma.","a:female, luminosidade:female, o:male, número:male, uma:female, estrela:female, o:male, plasma:male","a:female, luminosidade:female, o:male, número:male, uma:female, estrela:female, a:female, plasma:male"
44,"As velocidades do 802.11n são substancialmente mais rápidas do que as dos seus antecessores, teoricamente, com um rendimento máximo de 600 Mb/s.","As velocidades do 802.11n são substancialmente mais rápidas do que as de seus predecessores, com uma taxa de transferência teórica máxima de 600 Mbit/s.","as:female, velocidades:female, as:female, seus:male, um:male","as:female, velocidades:female, as:female, seus:male, uma:female"
52,"Ele adverte que não há garantias de que alguma ação no Iraque neste momento irá impedir a guerra entre seitas, o aumento da violência ou a tendência para o caos.","Ninguém pode garantir que qualquer curso de ação no Iraque neste momento vai parar a guerra sectária, crescente violência, ou um deslizamento para o caos.","alguma:female, iraque:neutral, a:female, guerra:female, o:male, caos:male","um:male, iraque:neutral, a:female, guerra:female, o:male, caos:male"
57,"A senhora Kirchner anunciou sua intenção de se candidatar a presidente no Teatro Argentina, o mesmo local que ela usou para iniciar sua campanha ao senado em 2005 como membro da delegação da província de Buenos Aires.","A senhora Kirchner anunciou sua intenção de concorrer à presidência no Teatro Argentino, o mesmo local que usou para iniciar sua campanha de 2005 para o Senado como membro da delegação provincial de Buenos Aires.","a:female, sua:female, intenção:male, a:female, teatro:male, o:male, sua:female, campanha:female, senado:male, delegação:male","a:female, sua:female, intenção:male, o:male, teatro:male, o:male, sua:female, campanha:female, senado:male, delegação:male"
66,"Robin Uthappa fez a pontuação mais alta do Innings, 70 corridas em apenas 41 bolas, acertando 11 quatros e 2 seis.","Robin Uthappa fez o maior número de pontos nos innings, 70 corridas em apenas 41 bolas, atingindo 11 quatros e 2 seis.","robin:male, a:female","robin:male, o:male"
67,"Os batedores da ordem média, Sachin Tendulkar e Rahul Dravid, tiveram um bom desempenho e fizeram uma parceria de cem corridas.","Os batedores de nível médio, Sachin Tendulkar e Rahul Dravid, se saíram bem e fizeram uma parceria de cem anos.","os:male, batedores:male, um:male, parceria:female","os:male, batedores:male, uma:female, parceria:female"
74,"Desde quando o governo federal interveio para tomar conta do financiamento do hospital Mersey em Devonport, Tasmânia, o governo estadual e alguns deputados federais não gostaram desse ato e o classificaram como uma manobra no prelúdio da eleição federal que irá ser convocada em novembro.","Desde que o governo federal tomou medidas para assumir o financiamento do hospital Mersey em Devonport, Tasmânia, o governo estadual e alguns deputados federais criticaram esse ato como um truque no prelúdio às eleições federais a serem convocadas em novembro.","o:male, governo:male, hospital:male, devonport:female, o:male, governo:male, alguns:male, uma:female, novembro:male","o:male, governo:male, hospital:male, devonport:female, o:male, governo:male, alguns:male, um:male, novembro:male"
75,Mas o primeiro-ministro John Howard disse que o ato foi apenas para proteger as instalações do hospital de serem rebaixadas pelo governo da Tasmânia dando 45 milhões de dólares australianos mais.,"O primeiro-ministro John Howard disse que a medida foi tomada para proteger as instalações do hospital de serem rebaixadas pelo governo da Tasmânia, ao dar um adicional de 45 milhões de dólares.","o:male, primeiro-ministro:male, o:male, as:female, instalações:female, hospital:male, tasmânia:female, dólares:male","o:male, primeiro-ministro:male, a:female, as:female, instalações:female, hospital:male, tasmânia:female, dólares:male"
83,O Corpo de Engenheiros dos EUA estimou que 15 cm de chuva podem romper os diques anteriormente danificados.,O Corpo de Engenheiros dos EUA estimou que 6 polegadas de chuva poderiam quebrar as barras previamente danificadas.,"o:male, engenheiros:male, chuva:female, os:male","o:male, engenheiros:male, chuva:female, as:female"
84,"A Ala Nove, que viu enchentes com 6 metros de altura durante o Furacão Katrina, está atualmente na altura da cintura, já que o dique mais próximo estava transbordado.","O Nono Quartel, que viu inundações de até 20 pés de altura durante o furacão Katrina, está atualmente em água alta, já que o leito próximo foi superado.","a:female, que:neutral, altura:female, o:male, furacão:male","o:male, que:neutral, altura:female, o:male, furacão:male"
85,A água está derramando sobre o dique em uma seção de 100 pés de largura.,A água está derramando sobre a vala em uma seção de 100 pés de largura.,"a:female, água:female, o:male, seção:male, largura:female","a:female, água:female, a:female, seção:male, largura:female"
