,System,Score
rank 1,refA,4.408457245749051
rank 2,Online-Y,2.2198738146024946
rank 3,Online-B,2.187702779649849
rank 4,bleu_bestmbr,2.15466114409608
rank 5,chrf_bestmbr,2.1448626705662694
rank 6,comet_bestmbr,2.072350321022266
rank 7,Lan-Bridge,2.015070486832781
rank 8,Online-W,2.0115003071440505
rank 9,Online-G,1.9683408963589648
rank 10,Online-A,1.9496069646546226
rank 11,JDExploreAcademy,1.8745964492739193
rank 12,PROMT,1.8564146285270895
rank 13,SRPOL,1.8417999675292345
rank 14,eTranslation,1.7163493221841821
rank 15,HuaweiTSC,1.7072769269948078
rank 16,M2M100_1.2B-B4,1.4681903209671907
rank 17,QUARTZ_TuneReranking,1.3382993967383312
