,System,Score
rank 1,refA,4.261965950547305
rank 2,refB,2.09523598466156
rank 3,HuaweiTSC,1.645049762908481
rank 4,Online-W,1.5120605799442393
rank 5,Online-G,1.4841082121926086
rank 6,LanguageX,1.46200080649474
rank 7,chrf_bestmbr,1.4515948503152483
rank 8,AISP-SJTU,1.4214894289514637
rank 9,JDExploreAcademy,1.409828847917947
rank 10,Lan-Bridge,1.4046096610024097
rank 11,comet_bestmbr,1.3951387556460828
rank 12,bleurt_bestmbr,1.3639478446615727
rank 13,Online-B,1.3290539086219804
rank 14,bleu_bestmbr,1.3278671258490011
rank 15,Online-Y,1.3220035555136023
rank 16,NiuTrans,1.3099484783882192
rank 17,Online-A,1.305622955692213
rank 18,DLUT,1.2422502448571617
rank 19,M2M100_1.2B-B4,1.0781640527944938
rank 20,QUARTZ_TuneReranking,0.8017129624391168
