,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,422,Too bad he doesn't own TikTok.,Too bad they don't own TikTok as well.,he:male,they:neutral
1,644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move to her, at least until she returned to the Czech Republic permanently.","his:male, him:male, he:male","his:male, her:female, she:female"
2,894,"For almost ten days, the British police searched without success for a missing 32-year-old Czech woman who went missing at the end of November.","For nearly ten days, British police searched to no avail for a missing 32-year-old Czech woman who went missing at the end of November.","for:male, success:female, woman:female, november:male","for:male, for:male, woman:female, november:male"
3,1226,"He does visit, but he doesn’t live in their house in Vinohrady, where Dáda stayed alone after he left.","She visits, but does not live in their house in Vinohrady, where Dáda was left alone after his departure.","he:male, their:neutral, after:male","she:female, their:neutral, after:male"
4,121,"I’d say that I am not racist, I don't care if someone is white, black, yellow, blue or whatever, as long as they behave as they should in a decent society (working, going about your business, not beating women, just normal behavior).","I say for myself that I am not a racist, I don't care if someone is white, black, yellow, blue or any other, as long as they behave as they should in a decent society (they work, they work, they don't beat women, just normal behavior).","or:male, they:neutral, they:neutral, business:female, women:female","or:male, they:neutral, they:neutral, for:male, women:female"
5,642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right away,"" Andrea replied on Instagram in Stories to curious questions from curious fans about what disappointed her so much about Kadrim that she decided to cut off all contact and even block him on social media.","reason:male, he:male, her:female, she:female","reason:male, she:female, her:female, she:female"
6,129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After the collision with the Škoda Octavia, the Peugeot vehicle ended up on the roof off the road, South Bohemian police spokeswoman Štěpánka Schwarzová described the accident.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
7,940,"The presence of media, social networks and video games, which make sex less and less of a priority for young people, may also have contributed.","However, the presence of media, social networks and video games, which make sex a smaller and smaller priority for young people, could also contribute.","less:female, people:neutral","for:male, people:neutral"
8,126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","""The young woman suffered serious multiple injuries and, despite resuscitation care, unfortunately succumbed to her injuries on the spot,"" Zuzana Fajtlová, a spokeswoman for the South Bohemian paramedics, told Pravo.","woman:female, her:female, spokesperson:neutral, for:male","woman:female, her:female, spokeswoman:female, for:male"
9,149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the information that is needed and filled it in on time, we would be about half here, says Czech Post spokesman Matyáš Vitík.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
