,System,Score
rank 1,refB,2.1615187100379885
rank 2,refA,1.101966397897356
rank 3,HuaweiTSC,0.769141974813399
rank 4,Online-G,0.684579717622146
rank 5,Online-W,0.668907506684737
rank 6,LanguageX,0.6636586012692909
rank 7,Lan-Bridge,0.6507578214377481
rank 8,comet_bestmbr,0.6471936428251199
rank 9,AISP-SJTU,0.639076648019276
rank 10,chrf_bestmbr,0.6343384517599555
rank 11,JDExploreAcademy,0.6292203624442517
rank 12,bleurt_bestmbr,0.6202720480416319
rank 13,Online-B,0.587963671350149
rank 14,Online-Y,0.5795054528932574
rank 15,Online-A,0.5770163389447854
rank 16,bleu_bestmbr,0.5663065058158887
rank 17,NiuTrans,0.5587361492606746
rank 18,DLUT,0.5367326854254956
rank 19,M2M100_1.2B-B4,0.48550414813958553
rank 20,QUARTZ_TuneReranking,0.4327155142206639
