,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,1,Ê movedore agradeceu à governante porque limpou o caminhão.,O motorista agradeceu ao caseiro porque ele limpou o caminhão.,"ê:neutral, agradeceu:male, à:female, porque:neutral, o:male, caminhão:male","o:male, agradeceu:male, ao:male, porque:neutral, o:male, caminhão:male"
1,2,Ê vendedore vendeu alguns livros ao bibliotecário porque queria aprender.,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,"ê:neutral, vendedore:neutral, vendeu:male, alguns:male, ao:male, bibliotecário:male, porque:neutral, queria:female","o:male, vendedor:male, vendeu:male, alguns:male, ao:male, bibliotecário:male, porque:neutral, queria:female"
2,3,Ê cozinheire preparou um prato para o professor porque ele está com fome.,O cozinheiro preparou um prato para o professor porque ele está com fome.,"ê:neutral, um:male, o:male, professor:male, porque:neutral, ele:male","o:male, um:male, o:male, professor:male, porque:neutral, ele:male"
3,4,"Ê CEO aumentou o salário da recepcionista, porque ele fez um bom trabalho.","O CEO aumentou o salário da rececionista, porque ele fez um bom trabalho.","ê:neutral, o:male, salário:male, porque:neutral, ele:male, um:male","o:male, o:male, salário:male, porque:neutral, ele:male, um:male"
4,5,"Ê médique receitou os remédios ao projetista, pois ele estava doente.","O médico receitou os medicamentos ao designer, porque ele estava doente.","ê:neutral, médique:neutral, os:male, ao:male, ele:male","o:male, médico:male, os:male, ao:male, ele:male"
5,6,Ê desenvolvedore criou um site para o alfaiate porque deseja vender roupas online.,O desenvolvedor construiu um site para o alfaiate porque ele quer vender panos online.,"ê:neutral, desenvolvedore:neutral, um:male, o:male, porque:neutral","o:male, desenvolvedor:male, um:male, o:male, porque:neutral"
6,7,Ê mecânique resolveu o problema para o editor e ele agradece.,O mecânico resolveu o problema para o editor e ele está grato.,"ê:neutral, mecânique:neutral, resolveu:male, o:male, o:male, editor:male, ele:male","o:male, mecânico:male, resolveu:male, o:male, o:male, editor:male, ele:male"
7,8,Ê carpinteire gosta de trabalhar com o desenhista porque sempre faz grandes projetos.,O carpinteiro gosta de trabalhar com o designer porque ele sempre faz ótimos projetos.,"ê:neutral, o:male, porque:neutral","o:male, o:male, porque:neutral"
8,9,Ê cozinheire preparou uma sopa para o empregado porque ele ajudou a limpar o quarto.,O cozinheiro preparou uma sopa para a governanta porque ele ajudou a limpar o quarto.,"ê:neutral, uma:female, o:male, porque:neutral, ele:male, a:female, o:male","o:male, uma:female, o:male, porque:neutral, ele:male, a:female, a:female"
9,10,Ê carpinteire fez uma escrivaninha para o escriturário porque precisava de uma.,O carpinteiro fez uma escrivaninha para o balconista porque precisava de uma.,"ê:neutral, uma:female, o:male, porque:neutral, uma:female","o:male, uma:female, o:male, porque:neutral, uma:female"
