,System,Score
rank 1,QUARTZ_TuneReranking,2.1814959081635514
rank 2,refA,2.125814441493398
rank 3,refB,1.9560850493862945
rank 4,HuaweiTSC,1.8593321805264469
rank 5,comet_bestmbr,1.7989073699390936
rank 6,Online-W,1.784688084309375
rank 7,Online-G,1.7777074097601075
rank 8,AISP-SJTU,1.7673114047626597
rank 9,LanguageX,1.7541465413661395
rank 10,bleurt_bestmbr,1.7462893867465297
rank 11,Lan-Bridge,1.7404294811361412
rank 12,chrf_bestmbr,1.7370460690413607
rank 13,Online-A,1.7357975436763329
rank 14,JDExploreAcademy,1.7230945462851053
rank 15,Online-Y,1.7169759160114528
rank 16,NiuTrans,1.6979228608751986
rank 17,Online-B,1.6942981491117481
rank 18,DLUT,1.6789361929839743
rank 19,bleu_bestmbr,1.6474928355410343
rank 20,M2M100_1.2B-B4,1.6246495567887043
