,reference,system output,identity term and its gender in reference,identity term and its gender in output
12,The Pilsen-born hockey player wants to finally make his presence felt and confirm that he belongs in the best league in the world.,The Pilsen Hockey League wants to finally accommodate and confirm that it belongs to the world’s best league.,he:male,it:neutral
114,"He was pretty cool, he made good jokes, he was often a little too expressive, but he was kind of our mascot.","It was quite fine, he did good fun, often too much manifested, but it was such our mascot.","he:male, he:male","he:male, it:neutral"
132,"After he was rescued, he needed emergency pre-hospital care and was airlifted in a stable condition to the hospital in České Budějovice, said paramedic Fajtlová.","After dismissal, she had to be provided with acute pre-Democracy care and in a stable state he was transported to the Czech Budapest Hospital, according to Fajtlová’s rescue officer.",he:male,she:female
245,It topped the audience ranking at this year's Karlovy Vary festival.,"At this year's Karlovy Vary Festival, he held the first stages of the audience ladder.",it:neutral,he:male
386,"He is now in isolation and will follow the relevant public health authority guidelines, with safety being the ultimate priority for all parties involved,"" representatives told formula1.com.","It is now in isolation and will follow the guidelines of the competent public health authorities, with security being the ultimate priority for all stakeholders,"" said her representatives for formula1.com.",he:male,it:neutral
408,It's kind of like a travelling jewelers and the creator has put half a year of work and every last penny of his savings into it.,He is a little like portable jewelry and the creator puts in him half a year of work and all his savings.,"it:neutral, it:neutral","he:male, him:male"
415,"If he succeeds, he will set a world record.","If it succeeds, it creates a world record.",he:male,it:neutral
507,"They had it, it's true, in that narrow sector were all selected, less usual and special cheeses, but it was between the vegetables and the lactose-free zone...","They had him, it is true, in that narrow sector all were selected, less common and special cheese, but it was between vegetables and non-lactose zones...","it:neutral, it:neutral","him:male, it:neutral"
554,"However, he is happy that no child deaths from coronavirus have been recorded at the Children's Hospital of the University Hospital Brno so far.","However, it is pleasant that no child deaths have yet been recorded at the children's hospital of FN Brno.",he:male,it:neutral
579,"My wife likes it because it keeps the grass trimmed, washes the car with its trunk, and the kids play with it.","The husband is happy because the salvation of grass, the car washs with a boot, the children play with him.",it:neutral,him:male
616,"She cowered and hid from everyone she saw, and any loud noise or sudden movement made her scream.",She cried and hid himself in front of everyone who met and any loud sound or sudden movement he shouted her.,"she:female, she:female","she:female, he:male"
642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","What is the main reason why Switzerland cannot leave right away,"" Andrea replied to the instagram in Stories to all questions of raising fans, what she disappointed on Kadri so that she decided to terminate all contact and even block it on social networks.","he:male, her:female, him:male","she:female, she:female, it:neutral"
869,"Then I ended the relationship, telling her I was breaking up with her and insisting that we could talk about it again next week to calm her down so she wouldn't have another fit.","Then I ended my relationship with it, and I told her to break out, but I can talk about it next week to calm it, and not to catch some amoke.","her:female, her:female, her:female","her:female, it:neutral, it:neutral"
903,She also appeared in the Czech database of missing persons.,It also appeared in the Czech database of missing persons.,she:female,it:neutral
1001,"She’s not a little girl any more, but a teenager experiencing first love.","It is no longer a little girl, but a teenage girl who lives the first love.",she:female,it:neutral
1118,"""I feel like we all have a particularly huge responsibility to try to find her because she was away from her home country, away from her family, and she has been working here for our health care system,"" Harman said.","""I feel that we all have special responsibility to try to find it, because it was outside of my home country, away from the family and worked here for our health care,"" said Harmanová.","her:female, she:female","it:neutral, it:neutral"
1226,"He does visit, but he doesn’t live in their house in Vinohrady, where Dáda stayed alone after he left.","She visits, but they were not in their house in Vinohrady, where Dada remained alone after his departure.",he:male,she:female
1227,Slováček still doesn't know where he will be on Christmas Eve.,The Slovakian still doesn't know where it's going to be for the Christmas evening.,he:male,it:neutral
1376,The British police have been searching for her since 3 December.,The British police belongs to it from 3 December.,her:female,it:neutral
1388,"""We are very concerned about her,"" she said at a press conference on Saturday.","“We have tremendous concerns about it,” she said at the Saturday press conference.","her:female, she:female","it:neutral, she:female"
