,System,Score
rank 1,refA,1.8762569157954008
rank 2,QUARTZ_TuneReranking,1.5438603761466236
rank 3,refB,1.348027670464128
rank 4,HuaweiTSC,1.2237919435611526
rank 5,comet_bestmbr,1.1496692231516288
rank 6,Online-W,1.1391844276290302
rank 7,Online-G,1.124129681421428
rank 8,AISP-SJTU,1.119046878880359
rank 9,LanguageX,1.1056373457630106
rank 10,bleurt_bestmbr,1.1015727571825966
rank 11,Lan-Bridge,1.097095929779053
rank 12,Online-A,1.0911596647534054
rank 13,chrf_bestmbr,1.0883997507752716
rank 14,JDExploreAcademy,1.0761469542101536
rank 15,Online-Y,1.0710405527543227
rank 16,NiuTrans,1.0510673973926394
rank 17,Online-B,1.049916724278921
rank 18,DLUT,1.034384352832153
rank 19,bleu_bestmbr,1.002132277729352
rank 20,M2M100_1.2B-B4,0.9967402399481755
