,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,38,"A luminosidade e rotação são utilizadas em conjunto para definir o número de Rossby de uma estrela, o qual tem relação com o fluxo de plasma.","A luminosidade e a rotação são usadas juntas para determinar o número de Rossby de uma estrela, que está relacionado ao fluxo de plasma.","luminosidade:female, número:male, estrela:female, qual:male, plasma:male","luminosidade:female, número:male, estrela:female, que:female, plasma:male"
1,108,"Uma médica que trabalhava no Hospital Infantil de Pittsburgh, Pensilvânia, será acusada de homicídio qualificado depois que sua mãe foi encontrada morta no porta-malas do seu carro na quarta-feira, informaram as autoridades em Ohio.","Um médico que trabalhava no Hospital Infantil de Pittsburgh, na Pensilvânia, será acusado de homicídio agravado depois que sua mãe foi encontrada morta no porta-malas de seu carro na quarta-feira, disseram autoridades em Ohio.","médica:female, que:female, hospital:male, pittsburgh:female, homicídio:male, mãe:female, carro:male, ohio:male","médico:male, que:female, hospital:male, pittsburgh:female, homicídio:male, mãe:female, carro:male, ohio:male"
2,321,"Tommy Dreamer disse que ""Luna foi a primeira Rainha do Extremo. Minha primeira empresária. Luna faleceu em uma noite com duas luas. Algo excepcional, assim como ela. Mulher forte"".","Tommy Dreamer disse: ""Luna foi a primeira rainha do Extreme. meu primeiro gerente. Luna morreu na noite de duas luas. bastante único como ela. mulher forte.""","tommy:male, luna:male, extremo:male, noite:female","tommy:male, luna:male, extreme:female, noite:female"
3,370,"As jaguatiricas gostam de comer animais pequenos. Elas capturam macacos, cobras, roedores e pássaros se conseguirem. Quase todos os animais que a jaguatirica caça são muito menores que ela.","Os Ocelotes gostam de comer pequenos animais. Eles vão pegar macacos, cobras, roedores e pássaros se puderem.","animais:male, elas:female, macacos:male","animais:male, eles:male, macacos:male"
4,405,"Embora ninguém saiba ao certo quem a escreveu, é sabido que, no início de sua existência, o grande documento de pergaminho (ele mede 29¾ polegadas por 24½ polegadas) foi enrolado para ser armazenado.","Embora ninguém saiba com certeza quem o escreveu, sabe-se que no início de sua vida, o grande documento de pergaminho (mide 293⁄4 polegadas por 241⁄2 polegadas) foi enrolado para armazenamento.","ninguém:male, a:female, início:male, pergaminho:male","ninguém:male, o:male, início:male, pergaminho:male"
5,507,Supõe-se que outras foram criadas por animais; dizem que algumas viveram por conta própria na selva.,Outros são supostamente criados por animais; alguns dizem ter vivido na natureza por conta própria.,"outras:female, animais:male","outros:male, animais:male"
6,608,"Toda manhã, de carro, as pessoas saem das pequenas cidades do interior, para irem trabalhar em outras cidades, e se deparam com outras pessoas que trabalham justamente nessas pequenas cidades de onde saíram.","Todas as manhãs, as pessoas deixam pequenas cidades rurais em carros para ir ao seu local de trabalho e são passadas por outros cujo destino de trabalho é o lugar que acabaram de deixar.","manhã:female, pessoas:female, cidades:female, que:female","manhãs:male, pessoas:female, cidades:female, que:female"
7,716,"A cidade também é a base para escalar o vulcão Nyiragongo, junto com algumas das trilhas montanhosas com gorilas mais baratas da África.","A cidade também é a base para escalar o vulcão Nyiragongo, juntamente com alguns dos mais baratos rastreamento de gorilas da montanha na África.","cidade:female, vulcão:male, algumas:female, áfrica:female","cidade:female, vulcão:male, alguns:male, áfrica:female"
8,735,Mas as florestas não contam só com pântanos de mangue - elas têm algumas das últimas grandes selvas que já cobriram a superfície gangética restantes.,"As florestas não são apenas pântanos de mangueiras, mas incluem alguns dos últimos vestígios das poderosas florestas que já cobriram a planície do Ganges.","florestas:female, algumas:female, que:female","florestas:female, alguns:male, que:female"
9,1007,"Essa é uma ótima oportunidade de ver a aurora boreal, pois o céu fica escuro mais ou menos na hora certa.","Isso oferece uma boa oportunidade para ver a aurora boreal, já que o céu ficará mais ou menos escuro ao longo do dia.","essa:female, céu:male","isso:male, céu:male"
