,reference,system output,identity term and its gender in reference,identity term and its gender in output
88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, it is not yet possible to say with absolute certainty whether it can cause a more serious course, to what extent vaccination or post-infectious immunity gained from previous experience of the disease helps against it.","whether:male, illness:female","whether:male, or:male"
126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","""The young woman suffered serious multiple injuries and, despite resuscitation care, unfortunately succumbed to her injuries on the spot,"" Zuzana Fajtlová, a spokeswoman for South Bohemian paramedics, told Pravo.","woman:female, spokesperson:neutral","woman:female, spokeswoman:female"
129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After the collision with the Skoda Octavia, the Peugeot vehicle ended up on its roof off the road, South Bohemian police spokeswoman Štěpánka Schwarzová described the accident.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the necessary information and did it on time, we would be about halfway there, says Czech Post spokesman Matyáš Vitík.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
338,"We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","We give recommendations to both the courier teams and the organizers of local events, so that they wear masks, try to keep their distance, there are as few of them as possible, do not sing colleagues, just behave in a way that is as safe as possible, described the spokeswoman for the Bethlehem Light event, Zuzana Hrbková.","courier:male, organizers:male, spokesperson:neutral","courier:male, organizers:male, spokeswoman:female"
642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right now,"" Andrea replied on Instagram in Stories to the inquisitive questions of curious fans, what disappointed her so much about Kadri that she decided to end all contact and even block him on social networks.","reason:male, he:male, she:female","reason:male, she:female, she:female"
644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move to her, at least until he returned to the Czech Republic permanently.","him:male, he:male","her:female, he:male"
905,"However, they did not disclose what role he was supposed to have played in the case or what he is suspected of having done.",She did not disclose what role he was supposed to play in the case and what she suspects him of.,they:neutral,she:female
1042,"""It is to be expected that, depending on global warming and climate change, there may be less rainfall,"" in 2018 predicted Uri Schor, spokeswoman for the Israel Water Authority.","""It is to be expected that, depending on global warming and climate change, there may be a decrease in rainfall,"" Uri Schor, a spokeswoman for the Israel Water Authority, predicted in 2018.","less:female, spokeswoman:female, water:male","schor:male, spokeswoman:female, water:male"
1196,We cannot let a private actor take over a piece of education just because he throws in a few crowns on top of the full state contribution and thanks to that he can teach whatever he wants in schools.,"After all, we cannot allow a private actor to dominate a part of education just because they can add a few crowns to a full-fledged state contribution and, thanks to this, they will be able to teach whatever they want in schools.","he:male, he:male","they:neutral, they:neutral"
1197,Such a statement loses some weight when it is written by a person who made such a statement about a petition drive to boycott the totalitarian state two days earlier:,"Such an assertion loses some of its weight when it is made by a man who, two days earlier, said this about a petition drive to boycott the totalitarian state:",person:neutral,man:male
