,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,2,A mecânica deu um presente para ê balconista porque ela ganhou na loteria.,O mecânico deu um presente à funcionária porque ela ganhou na loteria.,"mecânica:female, presente:male, ela:female, loteria:female","mecânico:male, presente:male, ela:female, loteria:female"
1,7,Ê cabeleireire fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,A cabeleireira fez amizade com a cozinheira porque ela deu boas dicas após um corte de cabelo.,"cabeleireire:neutral, amizade:female, cozinheira:female, ela:female","cabeleireira:female, amizade:female, cozinheira:female, ela:female"
2,8,Ê auditore pegou a desenvolvedora trapaceando porque ela é desonesta.,O auditor flagrou a desenvolvedora traindo porque ela é desonesta.,"auditore:neutral, desenvolvedora:female, ela:female","auditor:male, desenvolvedora:female, ela:female"
3,10,Ê mecânique deu um presente ao balconista porque era seu aniversário.,O mecânico deu um presente ao balconista porque era seu aniversário.,"mecânique:neutral, presente:male, balconista:female","mecânico:male, presente:male, balconista:female"
4,16,Ê desenvolvedore discutiu com o designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"desenvolvedore:neutral, designer:neutral, ideia:female","desenvolvedor:male, designer:neutral, ideia:female"
5,18,Ê vendedore conversou com o limpador porque queria comprar um aspirador.,O vendedor conversou com o limpador porque ele queria comprar um aspirador.,"vendedore:neutral, limpador:male","vendedor:male, limpador:male"
6,22,"Ê agricultore ofereceu maçãs para a governanta, porque ela poderia gostar.","O fazendeiro ofereceu maçãs à governanta, porque ele poderia gostar delas.","governanta:female, ela:female","governanta:female, ele:male"
7,24,"Ê vendedore tentou enganar o escritor, mas percebeu o truque.","O vendedor tentou enganar o escritor, mas ele viu através do truque.","vendedore:neutral, escritor:male, truque:neutral","vendedor:male, escritor:male, truque:neutral"
8,25,Ê secretárie foi a uma reunião com a trabalhadora da construção porque ela tinha um contrato para construir uma casa.,A secretária foi a uma reunião com a operária da construção civil porque ela estava sob contrato para construir uma casa.,"secretárie:neutral, ela:female, casa:female","secretária:female, ela:female, casa:female"
9,27,Ê secretárie foi a uma reunião com a trabalhadora da construção e fez algumas perguntas.,A secretária foi a uma reunião com a operária da construção civil e fez-lhe algumas perguntas.,"secretárie:neutral, perguntas:female","secretária:female, perguntas:female"
