,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,"O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Dalhousie University em Halifax, Nova Escócia e presidente da divisão clínica e científica da Associação Canadense de Diabetes, advertiu que a pesquisa ainda está em seus primeiros dias.","o:male, medicina:female, halifax:male, divisão:female, o:male, seus:male","o:male, medicina:female, halifax:male, divisão:female, a:female, seus:male"
3,"Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que esses achados não têm relevância para pessoas que já têm diabetes tipo 1.","alguns:male, outros:male, ele:male, a:female, essas:female, pessoas:female, que:female, diabetes:female","alguns:male, outros:male, ele:male, o:male, esses:male, pessoas:female, que:female, diabetes:female"
11,"Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Embora uma vacina experimental pareça capaz de reduzir a mortalidade do Ebola, até agora, nenhum medicamento foi claramente demonstrado adequado para tratar a infecção existente.","uma:female, vacina:female, a:female, mortalidade:female, o:male, nenhuma:female","uma:female, vacina:female, a:female, mortalidade:female, a:female, nenhum:male"
14,A equipe de ginástica norte-americana apoia a carta do Comitê Olímpico dos Estados Unidos e concorda com a necessidade absoluta de que a família olímpica promova um ambiente seguro para todos os nossos atletas.,A USA Gymnastics apoia a carta do Comitê Olímpico dos Estados Unidos e aceita a necessidade absoluta da família olímpica de promover um ambiente seguro para todos os nossos atletas.,"a:female, a:female, carta:female, estados:male, a:female, necessidade:female, a:female, um:male, ambiente:male, todos:male, nossos:male, atletas:male","a:female, a:female, carta:female, estados:male, a:female, necessidade:female, os:male, um:male, ambiente:male, todos:male, nossos:male, atletas:male"
16,"A equipe de ginástica norte-americana apoia uma investigação independente que possa esclarecer como um abuso da proporção que foi relatada tão corajosamente pelo sobrevivente, Larry Nassar, pôde acontecer sem que ninguém notasse, e defende qualquer mudança que for necessária e apropriada.",A USA Gymnastics apoia uma investigação independente que pode lançar luz sobre como o abuso da proporção descrita tão corajosamente pelos sobreviventes de Larry Nassar poderia ter passado despercebido por tanto tempo e abraça quaisquer mudanças necessárias e apropriadas.,"a:female, uma:female, investigação:female, que:female, proporção:female, qualquer:female","a:female, uma:female, investigação:female, que:female, proporção:female, tanto:male"
23,"As outras nomeações incluem Melhor Filme, Diretor, Fotografia, Figurino, Melhor Montagem, Trilha Sonora Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.","Os outros indicados incluem Melhor Filme, Direção, Cinematografia, Design de Vestuário, Edição de Filme, Gravação Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.","as:female, outras:female, filme:male, produção:female, som:male, som:male","os:male, outros:male, filme:male, produção:female, som:male, som:male"
27,"A Turquia também assumiria a guarda de membros do Estado Islâmico que, como afirma a declaração, as nações europeias se recusaram a repatriar.","A Turquia também assumirá a guarda dos combatentes capturados do EI que, segundo o comunicado, as nações europeias se recusaram a repatriar.","a:female, turquia:female, a:female, a:female, nações:female","a:female, turquia:female, a:female, o:male, nações:female"
29,. Cientistas afirmam que a plumagem superior desse animal era castanha e a parte inferior era clara ou carotenoide.,Os cientistas dizem que a plumagem deste animal era castanho-marrom na parte superior com um pálido ou cor carotenoide na parte inferior.,"cientistas:male, a:female, animal:male, a:female","cientistas:male, a:female, animal:male, os:male"
31,"As penas dos dinossauros, conhecidas como raque, não têm uma haste bem desenvolvida, mas possuem outras características, como farpas e bárbulas. Em vista disso, os pesquisadores concluíram que a raque era possivelmente o resultado de um desenvolvimento evolutivo posterior a essas outras características.","Como as penas dos dinossauros não têm um eixo bem desenvolvido, chamado de rachis, mas têm outras características das penas - barbas e barbulas - os pesquisadores concluíram que o rachis era provavelmente um desenvolvimento evolutivo posterior que essas outras características.","as:female, dinossauros:male, uma:female, outras:female, características:female, os:male, a:female, um:male, essas:female, outras:female, características:female","as:female, dinossauros:male, um:male, outras:female, características:female, os:male, o:male, um:male, essas:female, outras:female, características:female"
32,"A estrutura das penas sugere que não foram utilizadas em voo, mas sim, para se exibir ou regular a temperatura. Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra tem a plumagem de um adulto, e não a de um filhote.","A estrutura das penas sugere que elas não foram usadas em vôo, mas sim para regulação de temperatura ou exibição.Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra mostra penugem adulta e não a de uma galinha.","a:female, estrutura:female, a:female, os:male, esta:female, um:male, dinossauro:male, amostra:female, um:male","a:female, estrutura:female, a:female, a:female, esta:female, um:male, dinossauro:male, amostra:female, uma:female"
33,"Os pesquisadores sugeriram que, apesar do rabo ser de um dinossauro jovem, a amostra revela uma plumagem adulta, não uma penugem.","Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra mostra penas adultas e não uma queda de galinha.","os:male, do:male, um:male, a:female, amostra:female, uma:female","os:male, a:female, um:male, a:female, amostra:female, uma:female"
34,"Na manhã de ontem, um carro-bomba explodiu na sede da polícia em Gaziantep, Turquia, matou dois policiais e feriu mais de vinte outras pessoas.","Uma bomba explodiu na sede da polícia em Gaziantep, na Turquia, na manhã de ontem, matando dois policiais e ferindo mais de vinte pessoas.","manhã:female, um:male, polícia:female, gaziantep:female, pessoas:female","manhã:female, uma:female, polícia:female, gaziantep:female, pessoas:female"
37,"Eles descobriram que o sol operava com o mesmo princípios básicos que outras estrelas: a atividade de todas as estrelas no sistema foi determinada por sua luminosidade, sua rotação e nada mais.","Eles descobriram que o Sol operava sobre os mesmos princípios básicos que as outras estrelas: A atividade de todas as estrelas no sistema foi encontrada para ser impulsionada por seu brilho, sua rotação, e nada mais.","o:male, sol:male, o:male, princípios:male, outras:female, a:female, todas:female, estrelas:female, sistema:male, sua:female, sua:female","o:male, sol:male, os:male, princípios:male, outras:female, a:female, todas:female, estrelas:female, sistema:male, sua:female, seu:male"
38,"A luminosidade e rotação são utilizadas em conjunto para definir o número de Rossby de uma estrela, o qual tem relação com o fluxo de plasma.","A luminosidade e a rotação são usadas juntas para determinar o número de Rossby de uma estrela, que está relacionado ao fluxo de plasma.","a:female, luminosidade:female, o:male, número:male, uma:female, estrela:female, o:male, qual:male, plasma:male","a:female, luminosidade:female, o:male, número:male, uma:female, estrela:female, a:female, que:female, plasma:male"
44,"As velocidades do 802.11n são substancialmente mais rápidas do que as dos seus antecessores, teoricamente, com um rendimento máximo de 600 Mb/s.","As velocidades do 802.11n são substancialmente mais rápidas do que as de seus predecessores, com uma taxa de transferência teórica máxima de 600 Mbit/s.","as:female, velocidades:female, as:female, seus:male, um:male","as:female, velocidades:female, as:female, seus:male, uma:female"
52,"Ele adverte que não há garantias de que alguma ação no Iraque neste momento irá impedir a guerra entre seitas, o aumento da violência ou a tendência para o caos.","Ninguém pode garantir que qualquer curso de ação no Iraque neste momento vai parar a guerra sectária, crescente violência, ou um deslizamento para o caos.","alguma:female, iraque:male, a:female, guerra:female, o:male, caos:male","qualquer:male, iraque:male, a:female, guerra:female, o:male, caos:male"
57,"A senhora Kirchner anunciou sua intenção de se candidatar a presidente no Teatro Argentina, o mesmo local que ela usou para iniciar sua campanha ao senado em 2005 como membro da delegação da província de Buenos Aires.","A senhora Kirchner anunciou sua intenção de concorrer à presidência no Teatro Argentino, o mesmo local que usou para iniciar sua campanha de 2005 para o Senado como membro da delegação provincial de Buenos Aires.","a:female, sua:female, intenção:female, a:female, teatro:male, o:male, sua:female, campanha:female, senado:male, delegação:female","a:female, sua:female, intenção:female, o:male, teatro:male, o:male, sua:female, campanha:female, senado:male, delegação:female"
