,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,1,A desenvolvedora discutiu com ê designer porque ela não gostou do design.,A desenvolvedora discutiu com a designer porque ela não gostou do design.,"a:female, desenvolvedora:female, ê:neutral, designer:neutral, porque:neutral, ela:female, não:male","a:female, desenvolvedora:female, a:female, designer:neutral, porque:neutral, ela:female, não:male"
1,2,A mecânica deu um presente para ê balconista porque ela ganhou na loteria.,O mecânico deu um presente à funcionária porque ela ganhou na loteria.,"a:female, mecânica:female, deu:male, um:male, porque:neutral, ela:female, loteria:female","o:male, mecânico:male, deu:male, um:male, porque:neutral, ela:female, loteria:female"
2,3,A movedora agradeceu ae governante porque ela é grata.,A moradora agradeceu à governanta porque ela é grata.,"a:female, agradeceu:male, ae:neutral, governante:neutral, porque:neutral, ela:female","a:female, agradeceu:male, à:female, governanta:female, porque:neutral, ela:female"
3,4,O assistente digitalizou documentos para ê analista porque ele sabe usar a máquina de digitalização.,O assistente digitalizou documentos para o analista porque ele sabe como usar a máquina de digitalização.,"o:male, assistente:neutral, ê:neutral, analista:neutral, porque:neutral, ele:male, a:female, digitalização:male","o:male, assistente:neutral, o:male, analista:neutral, porque:neutral, ele:male, a:female, digitalização:male"
4,5,O cabeleireiro fez amizade com ê cozinheire porque gostava da comida.,O cabeleireiro fez amizade com o cozinheiro porque ele gostava da comida.,"o:male, cabeleireiro:male, ê:neutral, porque:neutral","o:male, cabeleireiro:male, o:male, porque:neutral"
5,6,O auditor pegou ê desenvolvedore trapaceando porque descobriu os documentos-chave.,O auditor flagrou o desenvolvedor trapaceando porque descobriu os principais documentos.,"o:male, auditor:male, ê:neutral, desenvolvedore:neutral, porque:neutral, os:male","o:male, auditor:male, o:male, desenvolvedor:male, porque:neutral, os:male"
6,7,Ê cabeleireire fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,A cabeleireira fez amizade com a cozinheira porque ela deu boas dicas após um corte de cabelo.,"ê:neutral, cabeleireire:neutral, a:female, cozinheira:female, porque:neutral, ela:female","a:female, cabeleireira:female, a:female, cozinheira:female, porque:neutral, ela:female"
7,8,Ê auditore pegou a desenvolvedora trapaceando porque ela é desonesta.,O auditor flagrou a desenvolvedora traindo porque ela é desonesta.,"ê:neutral, auditore:neutral, a:female, desenvolvedora:female, porque:neutral, ela:female","o:male, auditor:male, a:female, desenvolvedora:female, porque:neutral, ela:female"
8,9,Ê auditore comprou um presente para a guarda porque ela é eficaz.,A auditora comprou um presente para a guarda porque ela é eficaz.,"ê:neutral, auditore:neutral, um:male, a:female, porque:neutral, ela:female","a:female, auditora:female, um:male, a:female, porque:neutral, ela:female"
9,10,Ê mecânique deu um presente ao balconista porque era seu aniversário.,O mecânico deu um presente ao balconista porque era seu aniversário.,"ê:neutral, mecânique:neutral, deu:male, um:male, ao:male, porque:neutral, seu:male, aniversário:male","o:male, mecânico:male, deu:male, um:male, ao:male, porque:neutral, seu:male, aniversário:male"
