metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.717,0.264,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/results.csv,"{'Lan-Bridge': 0.2519036826760609, 'JDExploreAcademy': 0.3164412142994749, 'M2M100_1.2B-B4': 0.1699376525458796, 'Online-Y': 0.2789972465300914, 'AISP-SJTU': 0.298901902186214, 'comet_bestmbr': 0.2503794277972071, 'refA': 0.5649204746036246, 'Online-W': 0.2161111942400215, 'LanguageX': 0.3104201449855867, 'HuaweiTSC': 0.2938380907455662, 'Online-B': 0.2655506531117797, 'bleu_bestmbr': 0.2830542394144479, 'Online-A': 0.2639585976101605, 'bleurt_bestmbr': 0.3045221111234646, 'Online-G': 0.2981065089325651, 'refB': 1.1672729840373048}"
BERTScore,0.717,0.319,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/results.csv,"{'Lan-Bridge': 0.9301680293413672, 'JDExploreAcademy': 0.93492244175165, 'M2M100_1.2B-B4': 0.9196696637880684, 'Online-Y': 0.9303868875645176, 'AISP-SJTU': 0.9333913858574217, 'comet_bestmbr': 0.9260942537005584, 'refA': 0.9588666134541578, 'Online-W': 0.925147294171966, 'LanguageX': 0.9342699648130058, 'HuaweiTSC': 0.9326583538905228, 'Online-B': 0.9301859777752716, 'bleu_bestmbr': 0.9303777877647098, 'Online-A': 0.9292466365464844, 'bleurt_bestmbr': 0.9304501290368562, 'Online-G': 0.9323242709188178, 'refB': 0.999999999055768}"
TER,0.733,0.257,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/results.csv,"{'Lan-Bridge': -0.644638807904114, 'JDExploreAcademy': -0.6232048374905518, 'M2M100_1.2B-B4': -0.7026239067055393, 'Online-Y': -0.6638052046215311, 'AISP-SJTU': -0.6358384623690746, 'comet_bestmbr': -0.6981427491631574, 'refA': -0.3562250296944175, 'Online-W': -0.6892884137782097, 'LanguageX': -0.6316812439261419, 'HuaweiTSC': -0.6457725947521866, 'Online-B': -0.6599179354281395, 'bleu_bestmbr': -0.6431810819565922, 'Online-A': -0.6650469711694201, 'bleurt_bestmbr': -0.6673685347154735, 'Online-G': -0.6513875391426411, 'refB': -0.0}"
BLEU,0.7,0.234,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/results.csv,"{'Lan-Bridge': 0.2271016670051002, 'JDExploreAcademy': 0.2464716069304108, 'M2M100_1.2B-B4': 0.1791456495229667, 'Online-Y': 0.2178895098110984, 'AISP-SJTU': 0.2368335542200122, 'comet_bestmbr': 0.1716884661480859, 'refA': 0.5646214425782458, 'Online-W': 0.1977370060294591, 'LanguageX': 0.2456493526148967, 'HuaweiTSC': 0.2388819891212831, 'Online-B': 0.2265380760759182, 'bleu_bestmbr': 0.2283479483427779, 'Online-A': 0.2271687860085711, 'bleurt_bestmbr': 0.2128597674215062, 'Online-G': 0.2384151097516895, 'refB': 1.0000000000000004}"
chrF,0.65,0.281,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/results.csv,"{'Lan-Bridge': 0.5600294778283198, 'JDExploreAcademy': 0.5809136253358339, 'M2M100_1.2B-B4': 0.5124782119675713, 'Online-Y': 0.5627765871424291, 'AISP-SJTU': 0.5780177349644631, 'comet_bestmbr': 0.4887768751660075, 'refA': 0.7641194260678694, 'Online-W': 0.5323191061706385, 'LanguageX': 0.5822270695730436, 'HuaweiTSC': 0.5669179463019648, 'Online-B': 0.5609640865908943, 'bleu_bestmbr': 0.5617094377712764, 'Online-A': 0.563109835150881, 'bleurt_bestmbr': 0.5530468986423958, 'Online-G': 0.5794373812294143, 'refB': 1.0}"
ZeroEdit,0.592,0.042,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/results.csv,"{'Lan-Bridge': 0.0, 'JDExploreAcademy': 0.0019801980198019, 'M2M100_1.2B-B4': 0.0, 'Online-Y': 0.0, 'AISP-SJTU': 0.0, 'comet_bestmbr': 0.0019801980198019, 'refA': 0.0277227722772277, 'Online-W': 0.0, 'LanguageX': 0.0, 'HuaweiTSC': 0.0, 'Online-B': 0.0, 'bleu_bestmbr': 0.0, 'Online-A': 0.0, 'bleurt_bestmbr': 0.0, 'Online-G': 0.0, 'refB': 1.0}"
GLEU,0.65,0.267,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/results.csv,"{'Lan-Bridge': 0.6321196990126872, 'JDExploreAcademy': 0.6619947429195594, 'M2M100_1.2B-B4': 0.6046992226704206, 'Online-Y': 0.6413782050141106, 'AISP-SJTU': 0.6568484710877734, 'comet_bestmbr': 0.5970265945072949, 'refA': 0.7935043022783865, 'Online-W': 0.6215771816169435, 'LanguageX': 0.6601238174854892, 'HuaweiTSC': 0.6461595038810032, 'Online-B': 0.6381634515222776, 'bleu_bestmbr': 0.644611403667, 'Online-A': 0.6391387359516948, 'bleurt_bestmbr': 0.6362815812493278, 'Online-G': 0.6566494452785182, 'refB': 1.0}"
Average,0.708,0.211,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/universal_results.csv,"{'Lan-Bridge': 0.4758188438030558, 'JDExploreAcademy': 0.4944711978023489, 'M2M100_1.2B-B4': 0.4426196667880611, 'Online-Y': 0.4754463725965243, 'AISP-SJTU': 0.4883862335505289, 'comet_bestmbr': 0.4446590503253135, 'refA': 0.6478671091804689, 'Online-W': 0.4565068244758297, 'LanguageX': 0.4922570047218695, 'HuaweiTSC': 0.4836806062593387, 'Online-B': 0.4755298547274446, 'bleu_bestmbr': 0.4804846593280565, 'Online-A': 0.4750851887561844, 'bleurt_bestmbr': 0.4739329853137635, 'Online-G': 0.4863559889288687, 'refB': 0.9999999998651096}"
Median,0.65,0.281,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/universal_results.csv,"{'Lan-Bridge': 0.5600294778283198, 'JDExploreAcademy': 0.5809136253358339, 'M2M100_1.2B-B4': 0.5124782119675713, 'Online-Y': 0.5627765871424291, 'AISP-SJTU': 0.5780177349644631, 'comet_bestmbr': 0.4887768751660075, 'refA': 0.7641194260678694, 'Online-W': 0.5323191061706385, 'LanguageX': 0.5822270695730436, 'HuaweiTSC': 0.5669179463019648, 'Online-B': 0.5609640865908943, 'bleu_bestmbr': 0.5617094377712764, 'Online-A': 0.563109835150881, 'bleurt_bestmbr': 0.5530468986423958, 'Online-G': 0.5794373812294143, 'refB': 1.0}"
Social Choice Theory,0.658,0.61,zh-en,news,zh-en.refB.txt-news,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -2.4475247524752466, 'JDExploreAcademy': -2.735049504950494, 'M2M100_1.2B-B4': -7.4738613861386085, 'Online-Y': -3.486336633663364, 'AISP-SJTU': -2.8780198019801952, 'comet_bestmbr': -2.943564356435641, 'refA': -1.4233663366336649, 'Online-W': -3.9601980198019766, 'LanguageX': -2.1819801980198035, 'HuaweiTSC': -2.5221782178217818, 'Online-B': -2.836831683168315, 'bleu_bestmbr': -2.9035643564356413, 'Online-A': -3.2693069306930655, 'bleurt_bestmbr': -2.6580198019801946, 'Online-G': -3.0792079207920775, 'refB': -2.9550495049504923}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/news/nlp-telescope-scores/zh-en-news/zh-en.refB.txt-news/universal_results.csv,"{'Lan-Bridge': 70.0, 'JDExploreAcademy': 125.0, 'M2M100_1.2B-B4': 32.0, 'Online-Y': 76.0, 'AISP-SJTU': 109.0, 'comet_bestmbr': 35.0, 'refA': 133.0, 'Online-W': 39.0, 'LanguageX': 120.0, 'HuaweiTSC': 99.0, 'Online-B': 74.0, 'bleu_bestmbr': 88.0, 'Online-A': 74.0, 'bleurt_bestmbr': 73.0, 'Online-G': 102.0, 'refB': 140.0}"
