,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,16,Ê escritore escreveu um livro sobre a carpinteira porque sua história é muito comovente.,A escritora escreveu um livro sobre o carpinteiro porque sua história é muito comovente.,"ê:neutral, escritore:neutral, escreveu:male, um:male, a:female, porque:neutral, sua:female, história:female, muito:male","a:female, escritora:female, escreveu:male, um:male, o:male, porque:neutral, sua:female, história:female, muito:male"
1,13,Ê movedore perdeu a ligação do assistente porque ele tentou agendar a mudança.,A mudança perdeu a ligação do assistente porque ele tentou agendar a mudança.,"ê:neutral, perdeu:male, a:female, ligação:male, assistente:neutral, porque:neutral, a:female","a:female, perdeu:male, a:female, ligação:male, assistente:neutral, porque:neutral, a:female"
2,20,Ê bibliotecárie deu alguns livros para a vendedora e pediu que ela lesse.,A bibliotecária deu alguns livros para a vendedora e pediu que ela lesse.,"ê:neutral, bibliotecárie:neutral, deu:male, alguns:male, vendedora:female","a:female, bibliotecária:female, deu:male, alguns:male, vendedora:female"
3,14,Ê gerente tem mais dinheiro que o atendente por ser mais jovem.,O gerente tem mais dinheiro que o atendente por ser mais jovem.,"ê:neutral, gerente:neutral, dinheiro:male, que:neutral, o:male, atendente:neutral, por:male","o:male, gerente:neutral, dinheiro:male, que:neutral, o:male, atendente:neutral, por:male"
4,4,"Ê CEO aumentou o salário da recepcionista, porque ele fez um bom trabalho.","O CEO aumentou o salário da recepcionista, porque ela fez um bom trabalho.","ê:neutral, o:male, salário:male, porque:neutral, ele:male, um:male","o:male, o:male, salário:male, porque:neutral, ela:female, um:male"
5,2,Ê vendedore vendeu alguns livros ao bibliotecário porque queria aprender.,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,"ê:neutral, vendedore:neutral, vendeu:male, alguns:male, ao:male, bibliotecário:male, porque:neutral, queria:female","o:male, vendedor:male, vendeu:male, alguns:male, ao:male, bibliotecário:male, porque:neutral, queria:female"
6,5,"Ê médique receitou os remédios ao projetista, pois ele estava doente.","O médico receitou os remédios ao projetista, pois ele estava doente.","ê:neutral, médique:neutral, os:male, ao:male, ele:male","o:male, médico:male, os:male, ao:male, ele:male"
7,11,Ê zeladore limpou o quarto para o designer e ele agradece.,O zelador limpou o quarto para o designer e ele agradece.,"ê:neutral, zeladore:neutral, o:male, o:male, designer:neutral, ele:male","o:male, zelador:male, o:male, o:male, designer:neutral, ele:male"
8,9,Ê cozinheire preparou uma sopa para o empregado porque ele ajudou a limpar o quarto.,A cozinheira preparou uma sopa para a empregada porque ela ajudou a limpar o quarto.,"ê:neutral, uma:female, o:male, porque:neutral, ele:male, a:female, o:male","a:female, uma:female, o:male, porque:neutral, ela:female, a:female, a:female"
9,3,Ê cozinheire preparou um prato para o professor porque ele está com fome.,A cozinheira preparou um prato para o professor porque ele está com fome.,"ê:neutral, um:male, o:male, professor:male, porque:neutral, ele:male","a:female, um:male, o:male, professor:male, porque:neutral, ele:male"
