,reference,system output,identity term and its gender in reference,identity term and its gender in output
149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the data that are needed and filled in on time, we would be about half there,"" says Czech Post spokesman Matyáš Vitík.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right now,"" Andrea said on Instagram in Stories, responding to inquisitive questions from curious fans about what had disappointed her so much about Kadrim that she decided to end all contact and even block it from her social media.","reason:male, he:male, she:female","reason:male, she:female, she:female"
644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was that Kadri lived and worked in Switzerland, and his idea was that Andrea would move out with her, at least until he returned to Bohemia permanently.","him:male, he:male","her:female, he:male"
905,"However, they did not disclose what role he was supposed to have played in the case or what he is suspected of having done.","What role he was supposed to play in the case and what he suspected, but she did not disclose.",they:neutral,he:male
992,"At the same time, they informed her that she would answer for her actions in court.","At the same time, she was told that she would be confessing her actions in court.","they:neutral, she:female","she:female, she:female"
1024,"It’s always up to the customer to decide if they don't want it, the answer will always be no.","The decision is always the customer's, if he doesn't want it, the answer will always be no.","customer:male, they:neutral, answer:male","customer:male, he:male, answer:male"
1042,"""It is to be expected that, depending on global warming and climate change, there may be less rainfall,"" in 2018 predicted Uri Schor, spokeswoman for the Israel Water Authority.","""Depending on global warming and climate change, it can be expected that precipitation may decrease,"" Israel Water Authority spokesman Uri Schor predicted in 2018.","less:female, spokeswoman:female, water:male","schor:male, spokesman:male, water:male"
1197,Such a statement loses some weight when it is written by a person who made such a statement about a petition drive to boycott the totalitarian state two days earlier:,"Such a claim loses some weight when it is written by a man who, two days before, had said so about a petition for a boycott of a totalitarian state:",person:neutral,man:male
1204,"But it looks like you're taking it from a book, so I suppose the author or printer just created their own character to match what's actually on the coin.","But since it looks like you're drawing from a book, I'm guessing the author or the printer simply created his own character that matches what's physically on the coin.","author:male, or:male, printer:male, their:neutral","author:male, or:male, printer:male, his:male"
1342,"Antonín Seknička, deputy mayor of the village of Cejle from the Hrádek locality and spokesman for the Platform Against Deep Geological Repository said: After the ministers of industry, who only postponed the status of local governments in relation to state authorities in the search for a deep repository for highly radioactive waste to their successors, we expect a more significant turn from the new government.","Antonín Seknička, vice-mayor of Cejle municipality from Hrádek and spokesperson for the Platform against Deep Storage, said: ""After the ministers of industry, who only postponed the settlement of the position of the municipalities vis-à-vis the state authorities in the search for a deep repository of high-level radioactive waste to their successors, we expect a more significant turnaround from the new government.","mayor:male, spokesman:male, after:male, ministers:male, their:neutral, successors:male","vice-mayor:male, spokesperson:neutral, after:male, ministers:male, their:neutral, successors:male"
1379,"""The Czech police are cooperating closely with the British police,"" police spokesperson Kateřina Rendlová confirmed.","""The Czech Police is working closely with the British Police,"" confirmed police spokeswoman Kateřina Rendlová.",spokesperson:neutral,spokeswoman:female
