,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,"O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie, em Halifax, Nova Scotia, e presidente da divisão clínica e científica da Canadian Diabetes Association, avisou que a pesquisa ainda está no seu início.","o:male, medicina:female, halifax:male, divisão:female, o:male, seus:male","o:male, medicina:female, halifax:male, divisão:female, a:female, seu:male"
3,"Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Tal como outros especialistas, ele é cético sobre se o diabetes pode ser curado, notando que estas descobertas não têm qualquer relevancia para pessoas que já têm diabetes de Tipo 1.","alguns:male, outros:male, ele:male, a:female, essas:female, pessoas:female, que:female, diabetes:female","outros:male, qualquer:female, ele:male, o:male, estas:female, pessoas:female, que:female, diabetes:female"
11,"Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Enquanto uma vacina experimental parece ser capaz de reduzir a mortalidade por ébola, até agora, nenhum medicamento tem sido claramente demonstrado apropriado para tratar a infeção existente.","uma:female, vacina:female, a:female, mortalidade:female, o:male, nenhuma:female","uma:female, vacina:female, a:female, mortalidade:female, a:female, nenhum:male"
14,A equipe de ginástica norte-americana apoia a carta do Comitê Olímpico dos Estados Unidos e concorda com a necessidade absoluta de que a família olímpica promova um ambiente seguro para todos os nossos atletas.,A Gimnastica dos EUA apoia a carta do Comité Olímpico dos Estados Unidos e aceita a necessidade absoluta da família Olímpica de promover um ambiente seguro para todos os nossos atletas.,"a:female, a:female, carta:female, estados:male, a:female, necessidade:female, a:female, um:male, ambiente:male, todos:male, nossos:male, atletas:male","a:female, a:female, carta:female, estados:male, a:female, necessidade:female, os:male, um:male, ambiente:male, todos:male, nossos:male, atletas:male"
16,"A equipe de ginástica norte-americana apoia uma investigação independente que possa esclarecer como um abuso da proporção que foi relatada tão corajosamente pelo sobrevivente, Larry Nassar, pôde acontecer sem que ninguém notasse, e defende qualquer mudança que for necessária e apropriada.",A Gimnástica dos Estados Unidos apoia uma investigação independente que poderá incidir a luz sobre como o abuso da proporção descrita tão corajosamente pelos sobreviventes do Larry Nassar poderia ter ido por muito tempo sem ser detectado e aceita todas as mudanças necessárias e apropriadas.,"a:female, uma:female, investigação:female, que:female, proporção:female, qualquer:female","a:female, uma:female, investigação:female, que:female, proporção:female, muito:male"
29,. Cientistas afirmam que a plumagem superior desse animal era castanha e a parte inferior era clara ou carotenoide.,Os cientistas dizem que o plumage deste animal era de castanho-bruno no topo com uma parte de baixo de cor pálida ou carotenoida.,"cientistas:male, a:female, animal:male, a:female","cientistas:male, os:male, animal:male, o:male"
32,"A estrutura das penas sugere que não foram utilizadas em voo, mas sim, para se exibir ou regular a temperatura. Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra tem a plumagem de um adulto, e não a de um filhote.","A estrutura das pernas sugere que não foram usadas para o voo, mas sim para a regulação ou demonstração da temperatura. Os investigadores sugeriram que, apesar desta ser a cauda de um jovem dinossauro, a amostra mostra plumas adultos e não uma presa.","a:female, estrutura:female, a:female, os:male, esta:female, um:male, dinossauro:male, amostra:female, um:male","a:female, estrutura:female, a:female, os:male, desta:female, um:male, dinossauro:male, amostra:female, uma:female"
33,"Os pesquisadores sugeriram que, apesar do rabo ser de um dinossauro jovem, a amostra revela uma plumagem adulta, não uma penugem.","Os investigadores sugeriram que, apesar desta ser a cauda de um jovem dinossauro, a amostra mostra plumas adultos e não uma presa.","os:male, do:male, um:male, a:female, amostra:female, uma:female","os:male, a:female, um:male, a:female, amostra:female, uma:female"
38,"A luminosidade e rotação são utilizadas em conjunto para definir o número de Rossby de uma estrela, o qual tem relação com o fluxo de plasma.","A luminosidade e a rotação são usadas em conjunto para determinar o número Rossby de uma estrela, que está relacionado com o fluxo do plasma.","a:female, luminosidade:female, o:male, número:male, uma:female, estrela:female, o:male, qual:male, plasma:male","a:female, luminosidade:female, o:male, número:male, uma:female, estrela:female, o:male, que:female, plasma:male"
58,"O debate começou com uma controvérsia sobre gastos com socorro e reconstrução após o Furacão Katrina, o que alguns conservadores fiscais rotularam humoristicamente de ""O acordo de Bush para Nova Orleans"".","O debate foi desencadeado pela controvérsia sobre gastos em alivio e reconstrução depois do furacão Katrina; o que alguns conservadores fiscais chamaram humorosamente de ""A Acorda de Nova Orleães do Bush.""","o:male, o:male, alguns:male, conservadores:male","o:male, a:female, alguns:male, conservadores:male"
62,Várias TVs grandes foram instaladas em diversos lugares de Roma para que o povo pudesse assistir à cerimônia.,Muitos grandes ecrãs de televisão foram instalados em vários sítios em Roma para permitir que as pessoas assistissem à cerimonia.,"várias:female, diversos:male, o:male","muitos:male, vários:male, as:female"
