,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,"O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie, em Halifax, Nova Scotia, e presidente da divisão clínica e científica da Canadian Diabetes Association, avisou que a pesquisa ainda está no seu início.","o:male, medicina:female, halifax:male, divisão:male, o:male","o:male, medicina:female, halifax:male, divisão:male, a:female"
3,"Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Tal como outros especialistas, ele é cético sobre se o diabetes pode ser curado, notando que estas descobertas não têm qualquer relevancia para pessoas que já têm diabetes de Tipo 1.","outros:male, ele:male, a:female, pessoas:neutral, que:neutral, diabetes:female","outros:male, ele:male, o:male, pessoas:neutral, que:neutral, diabetes:female"
11,"Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Enquanto uma vacina experimental parece ser capaz de reduzir a mortalidade por ébola, até agora, nenhum medicamento tem sido claramente demonstrado apropriado para tratar a infeção existente.","uma:female, vacina:female, a:female, mortalidade:female, o:male, nenhuma:female, infecção:male","uma:female, vacina:female, a:female, mortalidade:female, a:female, nenhum:male, infeção:male"
29,. Cientistas afirmam que a plumagem superior desse animal era castanha e a parte inferior era clara ou carotenoide.,Os cientistas dizem que o plumage deste animal era de castanho-bruno no topo com uma parte de baixo de cor pálida ou carotenoida.,"cientistas:male, a:female, animal:male","cientistas:male, o:male, animal:male"
32,"A estrutura das penas sugere que não foram utilizadas em voo, mas sim, para se exibir ou regular a temperatura. Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra tem a plumagem de um adulto, e não a de um filhote.","A estrutura das pernas sugere que não foram usadas para o voo, mas sim para a regulação ou demonstração da temperatura. Os investigadores sugeriram que, apesar desta ser a cauda de um jovem dinossauro, a amostra mostra plumas adultos e não uma presa.","a:female, estrutura:female, a:female, a:female, um:male, dinossauro:male, amostra:female, um:male","a:female, estrutura:female, a:female, a:female, um:male, dinossauro:male, amostra:female, uma:female"
37,"Eles descobriram que o sol operava com o mesmo princípios básicos que outras estrelas: a atividade de todas as estrelas no sistema foi determinada por sua luminosidade, sua rotação e nada mais.","Descobriram que o Sol operava segundo os mesmos princípios básicos que outras estrelas: A atividade de todas as estrelas no sistema era conduzida pela sua luminosidade, pela sua rotação, e nada mais.","o:male, sol:male, o:male, princípios:male, outras:female, todas:female, estrelas:female, sistema:male, sua:female, sua:female","o:male, sol:male, a:female, princípios:male, outras:female, todas:female, estrelas:female, sistema:male, sua:female, sua:female"
62,Várias TVs grandes foram instaladas em diversos lugares de Roma para que o povo pudesse assistir à cerimônia.,Muitos grandes ecrãs de televisão foram instalados em vários sítios em Roma para permitir que as pessoas assistissem à cerimonia.,"várias:female, diversos:male","muitos:male, vários:male"
67,"Os batedores da ordem média, Sachin Tendulkar e Rahul Dravid, tiveram um bom desempenho e fizeram uma parceria de cem corridas.","Os batedores de ordem média, Sachin Tendulkar e Rahul Dravid, tiveram boas performances e fizeram uma parceria de 100 segundos.","os:male, batedores:male, um:male, parceria:female","os:male, batedores:male, uma:female, parceria:female"
68,"Mas, depois de não atingir o alvo do capitão, a Índia só conseguiu fazer 36 corridas e perdeu 7 alvos, finalizando as entradas.","Mas, depois de ter perdido a ponta do capitão, a Índia só teve 36 corridas, perdendo 7 pontas, para terminar as innings.","o:male, capitão:male, a:female, índia:female, corridas:female, as:female","a:female, capitão:male, a:female, índia:female, corridas:female, as:female"
69,"O presidente norte-americano, George W. Bush, chegou em Singapura na manhã de 16 de novembro, iniciando uma visita de uma semana pela Ásia.","O presidente dos EUA, George W. Bush, chegou a Singapura na manhã de 16 de Novembro, começando um tour de uma semana pela Ásia.","o:male, presidente:male, manhã:female, novembro:male, uma:female, semana:female, ásia:female","o:male, presidente:male, manhã:female, novembro:male, um:male, semana:female, ásia:female"
72,"O primeiro-ministro Stephen Harper concordou em enviar a ""Lei do Ar Limpo"" do governo a um comitê de todos os partidos para revisão, antes de sua segunda leitura, após a reunião de 25 minutos de terça-feira com o líder do NDP Jack Layton no PMO.","O primeiro-ministre Stephen Harper concordau em enviar a """" Lei do Aire Limpio """" do governo a uma comisión de todos os partidos para que o examine, antes da segunda leitura, depois da 25 minutos de reunião do Tuesday com o líder do NDP, Jack Layton, na ONP.","o:male, a:female, lei:female, um:male, todos:male, partidos:male, revisão:male, a:female, o:male, líder:male, ndp:male","o:male, a:female, lei:female, uma:female, todos:male, partidos:male, reunião:male, o:male, o:male, líder:male, ndp:male"
75,Mas o primeiro-ministro John Howard disse que o ato foi apenas para proteger as instalações do hospital de serem rebaixadas pelo governo da Tasmânia dando 45 milhões de dólares australianos mais.,"Mas o primeiro-ministro John Howard disse que a ação era apenas para proteger as instalações do hospital da degradação pelo governo da Tasmânia, ao dar mais 45 milhões de dólares australianos.","o:male, primeiro-ministro:male, o:male, as:female, instalações:female, hospital:male, tasmânia:female, dólares:male","o:male, primeiro-ministro:male, a:female, as:female, instalações:female, hospital:male, tasmânia:female, dólares:male"
83,O Corpo de Engenheiros dos EUA estimou que 15 cm de chuva podem romper os diques anteriormente danificados.,O Corps de Engenheiros dos E.U.A. estimau que 6 centímetros de chuva poderiam quebrar as leves anteriormente danificadas.,"o:male, engenheiros:male, chuva:female, os:male","o:male, engenheiros:male, chuva:female, as:female"
85,A água está derramando sobre o dique em uma seção de 100 pés de largura.,A água está a derramar-se sobre a levee numa secção de 60 metros de largura.,"a:female, água:female, o:male, seção:male, largura:female","a:female, água:female, a:female, secção:male, largura:female"
88,A irritação da comunidade levou aos esforços atuais para a criação de uma política relativa a conteúdo sexual para o site que hospeda milhões de arquivos de mídia de licença aberta.,"A irritação da comunidade levou a esforços atuais para criar uma política sobre conteúdo sexual para o """" site """" que alberga milhões de """" media """" de licença aberta.","a:female, irritação:male, comunidade:female, esforços:male, a:female, uma:female, site:male, que:neutral, licença:female","a:female, irritação:male, comunidade:female, esforços:male, o:male, uma:female, site:male, que:neutral, licença:female"
100,"Segundo o Dr. Moll, alguns pacientes podem ter contraído o vírus no hospital e ao menos dois eram profissionais de saúde.","Alguns doentes poderiam ter contraído o vírus no hospital, pensa a Dra. Moll, e pelo menos dois eram trabalhadores de saúde do hospital.","o:male, alguns:male, o:male, saúde:female","o:male, alguns:male, a:female, saúde:female"
108,"Uma médica que trabalhava no Hospital Infantil de Pittsburgh, Pensilvânia, será acusada de homicídio qualificado depois que sua mãe foi encontrada morta no porta-malas do seu carro na quarta-feira, informaram as autoridades em Ohio.","Um médico que trabalhava no Hospital Infantil de Pittsburgh, Pensilvânia, será acusado de homicídio agravado depois de a mãe ter sido encontrada morta no tronco do carro, mercredi, afirmam as autoridades do Ohio.","uma:female, médica:female, que:neutral, hospital:male, pittsburgh:female, homicídio:male, mãe:neutral, carro:male, ohio:male","um:male, médico:male, que:neutral, hospital:male, pittsburgh:female, homicídio:male, mãe:neutral, carro:male, ohio:male"
109,"O Dr. Malar Balasubramanian, 29, foi achado em Blue Ash, Ohio, um subúrbio com aproximadamente 15 milhas do norte de Cincinnati, caído no chão do lado da estrada usando uma camiseta e roupa íntima em um estado aparentemente sob medicado forte.","O Dr. Malar Balasubramanian, 29 anos, foi encontrado em Blue Ash, Ohio, num subúrbio a cerca de 14 km ao norte de Cincinnati, deitado no chão ao lado da estrada, com uma T-shirt e roupa interior, num estado aparentemente fortemente medicado.","o:male, um:male, norte:male, chão:male, estrada:female","o:male, uma:female, norte:male, chão:male, estrada:female"
