,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,1377,Interpol issued a yellow notice about it.,"Because of her, Interpol issued a so-called yellow circular.",it:neutral,her:female
1,324,"The Peace Light of Bethlehem is in the Czech Republic, the Scouts have taken it over from Austria","Plamínek from Bethlehem is in the Czech Republic, the scouts took him from Austria",it:neutral,him:male
2,757,He then finished him off with a series of precisely aimed blows to record his fifteenth triumph.,"Subsequently, he conquered it with a series of precisely aimed blows, scoring the fifteenth triumph.","he:male, him:male","he:male, it:neutral"
3,245,It topped the audience ranking at this year's Karlovy Vary festival.,"At this year's Karlovy Vary festival, he was on the first rungs of the audience ranking.",it:neutral,he:male
4,578,I got it and it's awesome.,"I got him, and he's great.",it:neutral,he:male
5,903,She also appeared in the Czech database of missing persons.,It also appeared in the Czech missing persons database.,she:female,it:neutral
6,386,"He is now in isolation and will follow the relevant public health authority guidelines, with safety being the ultimate priority for all parties involved,"" representatives told formula1.com.","She is now in isolation and will follow the instructions of the relevant public health authorities, with safety being the final priority for all parties involved, "" said her representatives for formula1.com.",he:male,she:female
7,642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can not leave Switzerland right away, "" Andrea replied on Instagram in Stories to the nosy questions of curious fans, what disappointed her so much about Kadri that she decided to end all contact and even block him on social networks.","he:male, her:female, she:female, him:male","she:female, her:female, she:female, him:male"
8,1382,"It says she is 168 centimeters tall, thin and has brown eyes and long straight hair of the same color.","According to him, she is 168 centimeters tall, skinny and has brown eyes and long straight hair of the same color.",it:neutral,she:female
9,326,"However, the Scouts did not go to Vienna for it this time because of the coronavirus pandemic; in the morning they took it from their Austrian colleagues at the border crossing at Reintal - Břeclav.","The scouts did not go to Vienna for him because of the coronavirus pandemic, but in the morning they took him from their Austrian colleagues at the reintal – Breclav border crossing.",it:neutral,him:male
