,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,Ê vendedore vendeu alguns livros para a bibliotecária porque queria aprender.,A vendedora vendeu alguns livros para a bibliotecária porque queria aprender.,"ê:neutral, vendedore:neutral, alguns:male, livros:male","a:female, vendedora:female, alguns:male, livros:male"
5,"Ê médique receitou os remédios para a estilista, pois ela estava doente.","O médico receitou os remédios para a estilista, pois ela estava doente.","médique:neutral, os:male, a:female, ela:female","médico:male, os:male, a:female, ela:female"
6,Ê desenvolvedore criou um site para a alfaiate porque ela quer vender roupas online.,A desenvolvedora criou um site para a alfaiate porque ela quer vender roupas online.,"desenvolvedore:neutral, um:male, site:male, a:female, alfaiate:female, ela:female","desenvolvedora:female, um:male, site:male, a:female, alfaiate:female, ela:female"
8,Ê carpinteire gosta de trabalhar com a desenhista porque sempre faz grandes desenhos.,O carpinteiro gosta de trabalhar com o desenhista porque sempre faz grandes desenhos.,"a:female, desenhos:male","o:male, desenhos:male"
11,Ê zeladore limpou o quarto para a designer e ela agradece.,O zelador limpou o quarto para a designer e ela agradece.,"zeladore:neutral, o:male, quarto:male, a:female, designer:neutral, ela:female","zelador:male, o:male, quarto:male, a:female, designer:neutral, ela:female"
15,Ê zeladore se apaixonou pela secretária por causa de suas mãos bonitas.,O zelador se apaixonou pela secretária por causa de suas mãos bonitas.,"zeladore:neutral, secretária:female, causa:female, suas:female, mãos:female","zelador:male, secretária:female, causa:female, suas:female, mãos:female"
17,Ê governante agradeceu ao movedor e deu-lhe um abraço.,A governanta agradeceu ao carregador e deu-lhe um abraço.,"governante:neutral, um:male, abraço:male","governanta:female, um:male, abraço:male"
18,Ê assistente pegou algum documento do analista e o ajudou a escanear.,O assistente pegou algum documento do analista e o ajudou a escanear.,"ê:neutral, assistente:neutral, algum:male, documento:male, analista:neutral","o:male, assistente:neutral, algum:male, documento:male, analista:neutral"
20,Ê bibliotecária deu alguns livros ao vendedor e pediu-lhe que lesse.,A bibliotecária deu alguns livros ao vendedor e pediu-lhe que lesse.,"ê:neutral, bibliotecária:female, alguns:male, livros:male","a:female, bibliotecária:female, alguns:male, livros:male"
21,Ê professore pediu um prato ao cozinheiro e deu-lhe algumas dicas,A professora pediu um prato ao cozinheiro e deu-lhe algumas dicas,"ê:neutral, professore:neutral, um:male, prato:male, cozinheiro:male, algumas:female, dicas:female","a:female, professora:female, um:male, prato:male, cozinheiro:male, algumas:female, dicas:female"
22,Ê assistente comprou um computador do vendedor e perguntou como usar.,A assistente comprou um computador do vendedor e perguntou como usar.,"ê:neutral, assistente:neutral, um:male, computador:male, vendedor:male","a:female, assistente:neutral, um:male, computador:male, vendedor:male"
28,Ê assistente perdeu a ligação do movedor e ligou de volta.,O assistente perdeu a ligação do carregador e ligou de volta.,"ê:neutral, assistente:neutral, a:female, movedor:male","o:male, assistente:neutral, a:female, carregador:male"
30,Ê governante pegou a chave inglesa emprestada do mecânico e o beijou.,A governanta pegou a chave inglesa emprestada do mecânico e o beijou.,"governante:neutral, a:female, chave:female, o:male","governanta:female, a:female, chave:female, o:male"
