,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,5,A cabeleireira fez amizade com ê cozinheire porque gostava da comida.,A cabeleireira fez amizade com a cozinheira porque gostava da comida.,"cabeleireira:female, amizade:female, cozinheire:neutral, comida:female","cabeleireira:female, amizade:female, cozinheira:female, comida:female"
1,6,A auditora pegou ê desenvolvedore trapaceando porque descobriu os documentos-chave.,O auditor pegou o desenvolvedor trapaceando porque descobriu os documentos-chave.,"auditora:female, desenvolvedore:neutral","auditor:male, desenvolvedor:male"
2,8,Ê auditore pegou o desenvolvedor trapaceando porque ele é desonesto.,O auditor pegou o desenvolvedor trapaceando porque ele é desonesto.,"auditore:neutral, desenvolvedor:male, ele:male","auditor:male, desenvolvedor:male, ele:male"
3,10,Ê mecânique deu um presente para a balconista porque era aniversário dela.,O mecânico deu um presente para a balconista porque era aniversário dela.,"mecânique:neutral, presente:male","mecânico:male, presente:male"
4,16,Ê desenvolvedore discutiu com a designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"desenvolvedore:neutral, designer:neutral, ideia:female","desenvolvedor:male, designer:neutral, ideia:female"
5,20,Ê enfermeire estava fugindo do trabalhador porque ele cheirava mal.,A enfermeira estava fugindo do trabalhador porque ele cheirava mal.,"enfermeire:neutral, trabalhador:male, ele:male","enfermeira:female, trabalhador:male, ele:male"
6,21,Ê limpadore está brave com o cozinheiro porque ele sujou a cozinha de novo.,A faxineira está brava com a cozinheira porque ela sujou a cozinha de novo.,"ele:male, cozinha:female","ela:female, cozinha:female"
7,24,"Ê vendedore tentou enganar a escritora, mas ela percebeu o truque.","A vendedora tentou enganar a escritora, mas ela percebeu o truque.","vendedore:neutral, escritora:female, ela:female, truque:neutral","vendedora:female, escritora:female, ela:female, truque:neutral"
8,25,Ê secretárie foi a uma reunião com o trabalhador da construção porque ele tinha um contrato para construir uma casa.,A secretária foi a uma reunião com o pedreiro porque ele tinha um contrato para construir uma casa.,"secretárie:neutral, ele:male, casa:female","secretária:female, ele:male, casa:female"
9,27,Ê secretárie foi a uma reunião com o trabalhador da construção e fez algumas perguntas.,A secretária foi a uma reunião com o pedreiro e fez algumas perguntas.,"secretárie:neutral, perguntas:female","secretária:female, perguntas:female"
