,System,Score
rank 1,refB,1.8678163105310766
rank 2,QUARTZ_TuneReranking,1.4757702864103626
rank 3,refA,1.3197517517109862
rank 4,HuaweiTSC,1.1539521738698557
rank 5,comet_bestmbr,1.0910932598175538
rank 6,Online-G,1.090673732225181
rank 7,Online-W,1.082500277936541
rank 8,Lan-Bridge,1.057064643791471
rank 9,LanguageX,1.0565084806120968
rank 10,AISP-SJTU,1.0542298765604676
rank 11,bleurt_bestmbr,1.0414230367448425
rank 12,Online-A,1.030089886173455
rank 13,chrf_bestmbr,1.0283756519114249
rank 14,Online-Y,1.0218256635920302
rank 15,JDExploreAcademy,1.0124966524890244
rank 16,Online-B,0.9840565765175744
rank 17,NiuTrans,0.9810346775010718
rank 18,DLUT,0.975911804657789
rank 19,bleu_bestmbr,0.9415587687963884
rank 20,M2M100_1.2B-B4,0.9399034276547482
