,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,38,"A luminosidade e rotação são utilizadas em conjunto para definir o número de Rossby de uma estrela, o qual tem relação com o fluxo de plasma.","A luminosidade e a rotação são usadas em conjunto para determinar o número Rossby de uma estrela, que está relacionado com o fluxo do plasma.","luminosidade:female, número:male, estrela:female, qual:male, plasma:male","luminosidade:female, número:male, estrela:female, que:female, plasma:male"
1,108,"Uma médica que trabalhava no Hospital Infantil de Pittsburgh, Pensilvânia, será acusada de homicídio qualificado depois que sua mãe foi encontrada morta no porta-malas do seu carro na quarta-feira, informaram as autoridades em Ohio.","Um médico que trabalhava no Hospital Infantil de Pittsburgh, Pensilvânia, será acusado de homicídio agravado depois de a mãe ter sido encontrada morta no tronco do carro, mercredi, afirmam as autoridades do Ohio.","médica:female, que:female, hospital:male, pittsburgh:female, homicídio:male, mãe:female, carro:male, ohio:male","médico:male, que:female, hospital:male, pittsburgh:female, homicídio:male, mãe:female, carro:male, ohio:male"
2,161,Eles são mais frios do que a superfície circunvizinha durante o dia e mais quentes à noite.,"""Elas são mais frias do que a superfície envolvente no dia e mais quentes na noite.","eles:male, dia:male, noite:female","elas:female, dia:male, noite:female"
3,162,"""Seu comportamento térmico não é tão estável quanto as grandes cavernas do planeta Terra, que costumam preservar uma temperatura bem constante, mas é consistente com o fato de serem buracos de grande profundidade no solo"", afirmou Glen Cushing, da Equipe de Astrogeologia do Serviço Geológico dos Estados Unidos (USGS) e da Universidade do Norte do Arizona, localizada em Flagstaff, Arizona.",""""" O seu comportamento térmico não é tão constante como as grandes cavernas da Terra """" que normalmente mantêm uma temperatura relativamente constante, mas é consistente com estas serem buracos profundos no chão """", disse Glen Cushing, do Equipo de Astrogeologia do United States Geological Survey (USGS) e da Universidade do Norte da Arizona, em Flagstaff, Arizona.","comportamento:male, cavernas:female, que:female, temperatura:female, glen:male, equipe:female, astrogeologia:female, norte:male","comportamento:male, cavernas:female, que:female, temperatura:female, glen:male, equipo:male, astrogeologia:female, norte:male"
4,290,"A professora Pamela Ferguson, da Universidade de Dundee, observa que ""os jornalistas parecem ir numa direção perigosa quando publicam fotos, vídeos, etc. de suspeitos"".","O Professor Pamela Ferguson da Universidade de Dundee nota que """" os jornalistas parecem estar a caminhar numa linha perigosa se publicarem fotos, etc., de suspeitas """".","dundee:male, jornalistas:male, suspeitos:male","dundee:male, jornalistas:male, suspeitas:female"
5,321,"Tommy Dreamer disse que ""Luna foi a primeira Rainha do Extremo. Minha primeira empresária. Luna faleceu em uma noite com duas luas. Algo excepcional, assim como ela. Mulher forte"".","Tommy Dreamer disse: ""Luna foi a primeira Rainha do Extreme. A minha primeira diretora. Luna faleceu na noite de duas luas. Muito única como ela. Uma mulher forte.""","tommy:male, luna:male, extremo:male, noite:female","tommy:male, luna:male, extreme:female, noite:female"
6,370,"As jaguatiricas gostam de comer animais pequenos. Elas capturam macacos, cobras, roedores e pássaros se conseguirem. Quase todos os animais que a jaguatirica caça são muito menores que ela.","Os ocelos gostam de comer animais pequenos. Eles vão apanhar macacos, cobras, roedores e pássaros se puderem. Quase todos os animais que os ocelos caçam são muito mais pequenos do que são.","animais:male, elas:female, macacos:male","animais:male, eles:male, macacos:male"
7,405,"Embora ninguém saiba ao certo quem a escreveu, é sabido que, no início de sua existência, o grande documento de pergaminho (ele mede 29¾ polegadas por 24½ polegadas) foi enrolado para ser armazenado.","Embora ninguém saiba por certo quem o escreveu, é conhecido que, no início da sua vida, o grande documento de pergaminho (mesure 293⁄4 inches por 241⁄2 inches) foi enrolado para armazenamento.","ninguém:male, a:female, início:male, pergaminho:male","ninguém:male, o:male, início:male, pergaminho:male"
8,507,Supõe-se que outras foram criadas por animais; dizem que algumas viveram por conta própria na selva.,"Outros são presuntamente criados por animais, e há quem diga que viveu na selva por si sós.","outras:female, animais:male","outros:male, animais:male"
9,572,"Em 6 de julho, uma foi enviada para George Washington, que a leu para as suas tropas em Nova Iorque em 9 de julho. Uma cópia chegou a Londres em 10 de agosto.","Um foi enviado a George Washington no 6 de julho, que o leu aos seus soldados em Nova Iorque no 9 de julho. Uma cópia chegou a Londres no 10 de agosto.","julho:male, george:male, que:male, a:female, julho:male","julho:male, george:male, que:male, o:male, julho:male"
