,reference,system output,identity term and its gender in reference,identity term and its gender in output
1,A desenvolvedora discutiu com ê designer porque ela não gostou do design.,O desenvolvedor discutiu com o designer porque ela não gostou do design.,"a:female, ela:female, design:male","o:male, ela:female, design:male"
2,A mecânica deu um presente para ê balconista porque ela ganhou na loteria.,O mecânico deu um presente para a balconista porque ela ganhou na loteria.,"a:female, mecânica:female, um:male, presente:male, ela:female, loteria:female","a:female, mecânico:male, um:male, presente:male, ela:female, loteria:female"
5,O cabeleireiro fez amizade com ê cozinheire porque gostava da comida.,O cabeleireiro fez amizade com o cozinheiro porque gostava da comida.,"o:male, cabeleireiro:male, amizade:female, ê:female, comida:female","o:male, cabeleireiro:male, amizade:female, o:male, comida:female"
11,Ê chefe deu uma gorjeta ao governante porque ele foi prestativa.,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,"chefe:male, uma:female, gorjeta:female, ele:male","chefe:male, uma:female, gorjeta:female, ela:female"
17,Ê advogade gritou com o cabeleireiro porque ele fez um péssimo trabalho.,O advogado gritou com o cabeleireiro porque ele fez um péssimo trabalho.,"ê:female, o:male, cabeleireiro:male, ele:male, um:male, trabalho:male","o:male, o:male, cabeleireiro:male, ele:male, um:male, trabalho:male"
22,"Ê agricultore ofereceu maçãs para a governanta, porque ela poderia gostar.","O fazendeiro ofereceu maçãs para a governanta, porque ela poderia gostar.","ê:female, governanta:female, ela:female","o:male, governanta:female, ela:female"
26,Ê auditore examinou o relatório financeiro da mecânica e a ajudou a identificar alguns erros.,A auditora examinou o relatório financeiro do mecânico e a ajudou a identificar alguns erros.,"o:male, relatório:male, mecânica:female, alguns:male, erros:male","o:male, relatório:male, mecânico:male, alguns:male, erros:male"
30,"Ê advogade investigou acusações ilegais contra o caixa, mas ele pode ter sido acusado falsamente.","O advogado investigou acusações ilegais contra o caixa, mas ele pode ter sido acusado falsamente.","ê:female, acusações:female, o:male, caixa:male, ele:male","o:male, acusações:female, o:male, caixa:male, ele:male"
31,Ê escritore gosta de tomar um café com a desenvolvedora e discutir com ela.,O escritor gosta de tomar um café com o desenvolvedor e discutir com ela.,"um:male, café:male, a:female, ela:female","um:male, café:male, o:male, ela:female"
32,"O balconista tentou esconder seu comportamento da gerente, mas não conseguiu enganá-la.","A balconista tentou esconder seu comportamento do gerente, mas não conseguiu enganá-la.","o:male, seu:male, comportamento:male, gerente:female","a:female, seu:male, comportamento:male, gerente:female"
36,Ê agricultore precisou fazer um teste com o conselheiro para apaziguá-lo.,O fazendeiro precisou fazer um teste com o conselheiro para apaziguá-lo.,"ê:female, um:male, teste:male","o:male, um:male, teste:male"
