,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,2,Ê vendedore vendeu alguns livros ao bibliotecário porque queria aprender.,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,"vendedore:neutral, livros:male, bibliotecário:male","vendedor:male, livros:male, bibliotecário:male"
1,4,"Ê CEO aumentou o salário da recepcionista, porque ele fez um bom trabalho.","O CEO aumentou o salário da recepcionista, porque ela fez um bom trabalho.","ceo:male, salário:male, ele:male, trabalho:male","ceo:male, salário:male, ela:female, trabalho:male"
2,5,"Ê médique receitou os remédios ao projetista, pois ele estava doente.","O médico receitou os remédios ao projetista, pois ele estava doente.","médique:neutral, ele:male","médico:male, ele:male"
3,6,Ê desenvolvedore criou um site para o alfaiate porque deseja vender roupas online.,O desenvolvedor criou um site para o alfaiate porque deseja vender roupas online.,"desenvolvedore:neutral, site:male","desenvolvedor:male, site:male"
4,9,Ê cozinheire preparou uma sopa para o empregado porque ele ajudou a limpar o quarto.,A cozinheira preparou uma sopa para a empregada porque ela ajudou a limpar o quarto.,"sopa:female, ele:male, quarto:male","sopa:female, ela:female, quarto:male"
5,11,Ê zeladore limpou o quarto para o designer e ele agradece.,O zelador limpou o quarto para o designer e ele agradece.,"zeladore:neutral, quarto:male, designer:neutral, ele:male","zelador:male, quarto:male, designer:neutral, ele:male"
6,15,Ê zelador se apaixonou pelo secretário por causa de suas mãos bonitas.,O zelador se apaixonou pela secretária por causa de suas mãos bonitas.,"zelador:male, secretário:male, mãos:female","zelador:male, secretária:female, mãos:female"
7,17,Ê governante agradeceu a movedora e deu-lhe um abraço.,A governanta agradeceu a mudança e deu-lhe um abraço.,"governante:neutral, abraço:male","governanta:female, abraço:male"
8,20,Ê bibliotecárie deu alguns livros para a vendedora e pediu que ela lesse.,A bibliotecária deu alguns livros para a vendedora e pediu que ela lesse.,"bibliotecárie:neutral, livros:male, vendedora:female","bibliotecária:female, livros:male, vendedora:female"
9,21,Ê professore pediu um prato à cozinheira e deu-lhe algumas dicas.,A professora pediu um prato à cozinheira e deu-lhe algumas dicas.,"professore:neutral, prato:male, cozinheira:female, dicas:female","professora:female, prato:male, cozinheira:female, dicas:female"
