,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,579,"My wife likes it because it keeps the grass trimmed, washes the car with its trunk, and the kids play with it.","The wife is happy because he grasses the grass, the car washes with his trunk, the children play with him.",it:neutral,he:male
1,386,"He is now in isolation and will follow the relevant public health authority guidelines, with safety being the ultimate priority for all parties involved,"" representatives told formula1.com.","It is now in isolation and will follow the guidance of the relevant public health authorities, with safety being the ultimate priority for all stakeholders,” its representatives for formula1.com said.",he:male,it:neutral
2,642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right away,” Andrea replied on Instagram in Stories to all kinds of questions from curious fans, what disappointed her so much about Kadri that she decided to quit all contact and even block it on social networks.","he:male, her:female, she:female, him:male","she:female, her:female, she:female, it:neutral"
3,30,The server efotbal.cz reported that it got access to part of the police files.,"He informed the server efotbal.cz about this, saying that he had accessed part of the police files.",it:neutral,he:male
4,757,He then finished him off with a series of precisely aimed blows to record his fifteenth triumph.,"He subsequently conquered it with a series of precisely aimed blows, scoring his fifteenth triumph.","he:male, him:male","he:male, it:neutral"
5,1377,Interpol issued a yellow notice about it.,Interpol issued a so-called yellow circular because of her.,it:neutral,her:female
6,245,It topped the audience ranking at this year's Karlovy Vary festival.,"At this year's Karlovy Vary Festival, he held on to the first rungs of the audience chart.",it:neutral,he:male
7,903,She also appeared in the Czech database of missing persons.,It also appeared in the Czech database of missing persons.,she:female,it:neutral
8,166,For he himself called them to her.,He summoned them to her himself.,"he:male, her:female","he:male, himself:male"
9,1226,"He does visit, but he doesn’t live in their house in Vinohrady, where Dáda stayed alone after he left.","She visits but does not live in their house in Vinohrady, where Dáda was left alone after his departure.",he:male,she:female
