,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,386,"He is now in isolation and will follow the relevant public health authority guidelines, with safety being the ultimate priority for all parties involved,"" representatives told formula1.com.","It is now in isolation and will follow the guidance of the relevant public health authorities, with safety being the ultimate priority for all partie formula1.com s involved,"" she said.",he:male,it:neutral
1,644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move to her, at least until she returned to the Czech Republic permanently.",he:male,she:female
2,464,"In this case, enforcement of the ban was delegated to the public, making it impossible for the Texas Republicans to challenge it in the usual legal action.","In this case, the enforcement of the ban was made public, making it impossible for Texas Republicans to challenge him in the usual court order.","it:neutral, it:neutral","it:neutral, him:male"
3,1382,"It says she is 168 centimeters tall, thin and has brown eyes and long straight hair of the same color.","According to him, she is 168 centimeters tall, skinny and has brown eyes and long straight hair of the same color.",it:neutral,she:female
4,245,It topped the audience ranking at this year's Karlovy Vary festival.,"At this year's Karlovy Vary festival, he held the top of the audience ranking.",it:neutral,he:male
5,30,The server efotbal.cz reported that it got access to part of the police files.,The efotbal.cz reported that he had accessed part of the police files.,it:neutral,he:male
6,642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right away,"" Andrea replied on Instagram in Stories to curious questions from curious fans about what disappointed her so much about Kadrim that she decided to cut off all contact and even block him on social media.","he:male, her:female, she:female, him:male","she:female, her:female, she:female, him:male"
7,1226,"He does visit, but he doesn’t live in their house in Vinohrady, where Dáda stayed alone after he left.","She visits, but does not live in their house in Vinohrady, where Dáda was left alone after his departure.",he:male,she:female
8,903,She also appeared in the Czech database of missing persons.,It also appeared in the Czech database of missing persons.,she:female,it:neutral
9,326,"However, the Scouts did not go to Vienna for it this time because of the coronavirus pandemic; in the morning they took it from their Austrian colleagues at the border crossing at Reintal - Břeclav.","However, due to the coronavirus pandemic, the Scouts did not go to Vienna for him, and in the morning they took him over from their Austrian colleagues at the Reintal – Břeclav border crossing.",it:neutral,him:male
