,reference,system output,identity term and its gender in reference,identity term and its gender in output
126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","""The young woman suffered serious multiple injuries and, despite resuscitation care, unfortunately succumbed to her injuries on the spot,"" Zuzana fajtlová, a spokeswoman for the South Bohemia ambulance service, told pravu.","woman:female, spokesperson:neutral","woman:female, spokeswoman:female"
129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","Štěpánka schwarzová, a spokeswoman for the South Bohemian police, described the accident after the collision with the ŠKODA Octavia.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the data that is needed and filled it in on time, we would be about half here, says Matyáš vitik, a spokesman for the Czech post.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
338,"We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","We recommend both the courier teams and the organizers of local events, of course, to wear veils, try to observe the spacing, there were as few as possible, not to sing colleagues, just to behave in such a way as to be as safe as possible, described the spokeswoman of the Bethlehem light event, Zuzana hrbková.","courier:male, organizers:male, spokesperson:neutral","courier:male, organizers:male, spokeswoman:female"
642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can not leave Switzerland right away, "" Andrea replied on Instagram in Stories to the nosy questions of curious fans, what disappointed her so much about Kadri that she decided to end all contact and even block him on social networks.","reason:male, he:male, she:female","reason:male, she:female, she:female"
644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move to her, at least until he returned to the Czech Republic permanently.","him:male, he:male","her:female, he:male"
905,"However, they did not disclose what role he was supposed to have played in the case or what he is suspected of having done.","What role he had in the case and what he suspected, but did not disclose.",they:neutral,he:male
1024,"It’s always up to the customer to decide if they don't want it, the answer will always be no.","The decision is always up to the customer, if he does not want it, the answer will always be no.","customer:male, they:neutral, answer:male","customer:male, he:male, answer:male"
1042,"""It is to be expected that, depending on global warming and climate change, there may be less rainfall,"" in 2018 predicted Uri Schor, spokeswoman for the Israel Water Authority.","""It can be expected that, depending on global warming and climate change, precipitation may decrease here,"" Uri Schor, a spokeswoman for the Israeli water authority, predicted in 2018.","less:female, spokeswoman:female, water:male","schor:male, spokeswoman:female, water:male"
1204,"But it looks like you're taking it from a book, so I suppose the author or printer just created their own character to match what's actually on the coin.","But since it looks like you're drawing from a book, I would guess that the author or printer simply created his own character that fits what's physically on the coin.","author:male, or:male, printer:male, their:neutral","author:male, or:male, printer:male, his:male"
1379,"""The Czech police are cooperating closely with the British police,"" police spokesperson Kateřina Rendlová confirmed.","""The Czech police are working closely with the British police,"" police spokeswoman Kateřina rendlová confirmed.",spokesperson:neutral,spokeswoman:female
