,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,Ê vendedore vendeu alguns livros para a bibliotecária porque queria aprender.,A vendedora vendeu alguns livros à bibliotecária porque queria aprender.,"ê:neutral, vendedore:neutral, alguns:male, livros:male","a:female, vendedora:female, alguns:male, livros:male"
5,"Ê médique receitou os remédios para a estilista, pois ela estava doente.","O médico receitou os medicamentos para a designer, porque ela estava doente.","médique:neutral, os:male, a:female, ela:female","médico:male, os:male, a:female, ela:female"
6,Ê desenvolvedore criou um site para a alfaiate porque ela quer vender roupas online.,A incorporadora construiu um site para a alfaiate porque ela quer vender panos online.,"desenvolvedore:neutral, um:male, site:male, a:female, alfaiate:female, ela:female","incorporadora:female, um:male, site:male, a:female, alfaiate:female, ela:female"
11,Ê zeladore limpou o quarto para a designer e ela agradece.,A zeladora limpou o quarto para a designer e ela está grata.,"zeladore:neutral, o:male, quarto:male, a:female, designer:neutral, ela:female","zeladora:female, o:male, quarto:male, a:female, designer:neutral, ela:female"
12,Ê movedore comprou uma cerveja para a caixa porque ela é legal.,A motente comprou uma cerveja para o caixa porque ela é legal.,"uma:female, cerveja:female, a:female, caixa:female, ela:female","uma:female, cerveja:female, o:male, caixa:female, ela:female"
15,Ê zeladore se apaixonou pela secretária por causa de suas mãos bonitas.,A zeladora se apaixonou pela secretária por causa de suas mãos simpáticas.,"zeladore:neutral, secretária:female, causa:female, suas:female, mãos:female","zeladora:female, secretária:female, causa:female, suas:female, mãos:female"
17,Ê governante agradeceu ao movedor e deu-lhe um abraço.,A governanta agradeceu ao companheiro e deu-lhe um abraço.,"governante:neutral, um:male, abraço:male","governanta:female, um:male, abraço:male"
18,Ê assistente pegou algum documento do analista e o ajudou a escanear.,O assistente obteve algum documento do analista e ajudou-o a fazer a digitalização.,"ê:neutral, assistente:neutral, algum:male, documento:male, analista:neutral","o:male, assistente:neutral, algum:male, documento:male, analista:neutral"
20,Ê bibliotecária deu alguns livros ao vendedor e pediu-lhe que lesse.,A bibliotecária entregou alguns livros ao vendedor e pediu-lhe para ler.,"ê:neutral, bibliotecária:female, alguns:male, livros:male","a:female, bibliotecária:female, alguns:male, livros:male"
21,Ê professore pediu um prato ao cozinheiro e deu-lhe algumas dicas,O professor pediu um prato ao cozinheiro e deu-lhe algumas dicas,"ê:neutral, professore:neutral, um:male, prato:male, cozinheiro:male, algumas:female, dicas:female","o:male, professor:male, um:male, prato:male, cozinheiro:male, algumas:female, dicas:female"
22,Ê assistente comprou um computador do vendedor e perguntou como usar.,O assistente comprou um computador ao vendedor e perguntou-lhe como usar.,"ê:neutral, assistente:neutral, um:male, computador:male, vendedor:male","o:male, assistente:neutral, um:male, computador:male, vendedor:male"
24,Ê alfaiate fez um suéter para o desenvolvedor e cobrou mil dólares.,O alfaiate fez uma camisola para o promotor e cobrou-lhe mil dólares.,"um:male, o:male, dólares:male","uma:female, o:male, dólares:male"
27,Ê caixa comprou uma cerveja para o movedor e agradeceu a ajuda.,O caixa comprou uma cerveja para o movimentador e agradeceu pela ajuda.,"caixa:female, uma:female, cerveja:female, o:male, a:female","caixa:female, uma:female, cerveja:female, o:male, o:male"
28,Ê assistente perdeu a ligação do movedor e ligou de volta.,O assistente perdeu a chamada do movimentador e ligou-lhe de volta.,"ê:neutral, assistente:neutral, a:female, movedor:male","o:male, assistente:neutral, a:female, movimentador:male"
30,Ê governante pegou a chave inglesa emprestada do mecânico e o beijou.,A governanta pegou a chave emprestada do mecânico e depois o beijou.,"governante:neutral, a:female, chave:female, o:male","governanta:female, a:female, chave:female, o:male"
