,reference,system output,identity term and its gender in reference,identity term and its gender in output
1,Ê movedore agradeceu à governante porque limpou o caminhão.,O motorista agradeceu ao caseiro porque ele limpou o caminhão.,"ê:neutral, agradeceu:male, à:female, porque:neutral, o:male, caminhão:male","o:male, agradeceu:male, ao:male, porque:neutral, o:male, caminhão:male"
2,Ê vendedore vendeu alguns livros ao bibliotecário porque queria aprender.,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,"ê:neutral, vendedore:neutral, vendeu:male, alguns:male, ao:male, bibliotecário:male, porque:neutral, queria:female","o:male, vendedor:male, vendeu:male, alguns:male, ao:male, bibliotecário:male, porque:neutral, queria:female"
3,Ê cozinheire preparou um prato para o professor porque ele está com fome.,O cozinheiro preparou um prato para o professor porque ele está com fome.,"ê:neutral, um:male, o:male, professor:male, porque:neutral, ele:male","o:male, um:male, o:male, professor:male, porque:neutral, ele:male"
4,"Ê CEO aumentou o salário da recepcionista, porque ele fez um bom trabalho.","O CEO aumentou o salário da rececionista, porque ele fez um bom trabalho.","ê:neutral, o:male, salário:male, porque:neutral, ele:male, um:male","o:male, o:male, salário:male, porque:neutral, ele:male, um:male"
5,"Ê médique receitou os remédios ao projetista, pois ele estava doente.","O médico receitou os medicamentos ao designer, porque ele estava doente.","ê:neutral, médique:neutral, os:male, ao:male, ele:male","o:male, médico:male, os:male, ao:male, ele:male"
6,Ê desenvolvedore criou um site para o alfaiate porque deseja vender roupas online.,O desenvolvedor construiu um site para o alfaiate porque ele quer vender panos online.,"ê:neutral, desenvolvedore:neutral, um:male, o:male, porque:neutral","o:male, desenvolvedor:male, um:male, o:male, porque:neutral"
7,Ê mecânique resolveu o problema para o editor e ele agradece.,O mecânico resolveu o problema para o editor e ele está grato.,"ê:neutral, mecânique:neutral, resolveu:male, o:male, o:male, editor:male, ele:male","o:male, mecânico:male, resolveu:male, o:male, o:male, editor:male, ele:male"
8,Ê carpinteire gosta de trabalhar com o desenhista porque sempre faz grandes projetos.,O carpinteiro gosta de trabalhar com o designer porque ele sempre faz ótimos projetos.,"ê:neutral, o:male, porque:neutral","o:male, o:male, porque:neutral"
9,Ê cozinheire preparou uma sopa para o empregado porque ele ajudou a limpar o quarto.,O cozinheiro preparou uma sopa para a governanta porque ele ajudou a limpar o quarto.,"ê:neutral, uma:female, o:male, porque:neutral, ele:male, a:female, o:male","o:male, uma:female, o:male, porque:neutral, ele:male, a:female, a:female"
10,Ê carpinteire fez uma escrivaninha para o escriturário porque precisava de uma.,O carpinteiro fez uma escrivaninha para o balconista porque precisava de uma.,"ê:neutral, uma:female, o:male, porque:neutral, uma:female","o:male, uma:female, o:male, porque:neutral, uma:female"
11,Ê zeladore limpou o quarto para o designer e ele agradece.,O zelador limpou o quarto para o designer e ele está grato.,"ê:neutral, zeladore:neutral, o:male, o:male, designer:neutral, ele:male","o:male, zelador:male, o:male, o:male, designer:neutral, ele:male"
12,Ê movedore comprou uma cerveja para o caixa porque ele é legal.,O motorista comprou uma cerveja para o caixa porque ele é legal.,"ê:neutral, uma:female, o:male, porque:neutral, ele:male","o:male, uma:female, o:male, porque:neutral, ele:male"
13,Ê movedore perdeu a ligação do assistente porque ele tentou agendar a mudança.,O motorista perdeu a ligação do assistente porque tentou agendar a mudança.,"ê:neutral, perdeu:male, a:female, ligação:male, assistente:neutral, porque:neutral, a:female","o:male, perdeu:male, a:female, ligação:male, assistente:neutral, porque:neutral, a:female"
14,Ê gerente tem mais dinheiro que o atendente por ser mais jovem.,"O gerente tem mais dinheiro do que o atendente, já que ele é mais júnior.","ê:neutral, gerente:neutral, dinheiro:male, que:neutral, o:male, atendente:neutral, por:male","o:male, gerente:neutral, dinheiro:male, que:neutral, o:male, atendente:neutral, júnior:male"
15,Ê zeladore se apaixonou pelo secretário por causa de suas mãos bonitas.,O zelador apaixonou-se pela secretária por causa de suas mãos simpáticas.,"ê:neutral, zeladore:neutral, secretário:male, por:male, suas:female","o:male, zelador:male, secretária:female, por:male, suas:female"
16,Ê escritore escreveu um livro sobre a carpinteira porque sua história é muito comovente.,A escritora escreveu um livro sobre a carpinteiro porque a sua história é muito comovente.,"ê:neutral, escritore:neutral, escreveu:male, um:male, a:female, porque:neutral, sua:female, história:female, muito:male","a:female, escritora:female, escreveu:male, um:male, a:female, porque:neutral, sua:female, história:female, muito:male"
17,Ê governante agradeceu a movedora e deu-lhe um abraço.,A governanta agradeceu à motente e deu-lhe um abraço.,"ê:neutral, governante:neutral, agradeceu:male, um:male","a:female, governanta:female, agradeceu:male, um:male"
18,Ê assistente pegou algum documento da analista e a ajudou a escanear.,A assistente obteve algum documento da analista e ajudou-a a fazer a digitalização.,"ê:neutral, assistente:neutral, algum:male, analista:neutral, a:female, a:female","a:female, assistente:neutral, algum:male, analista:neutral, a:female, a:female"
19,Ê governante limpou o quarto da chefe e pediu gorjeta.,A governanta limpou o quarto para o chefe e pediu-lhe dicas.,"ê:neutral, governante:neutral, o:male, chefe:neutral","a:female, governanta:female, o:male, chefe:neutral"
20,Ê bibliotecárie deu alguns livros para a vendedora e pediu que ela lesse.,A bibliotecária deu alguns livros à vendedora e pediu-lhe para ler.,"ê:neutral, bibliotecárie:neutral, deu:male, alguns:male, vendedora:female","a:female, bibliotecária:female, deu:male, alguns:male, vendedora:female"
