,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,121,"I’d say that I am not racist, I don't care if someone is white, black, yellow, blue or whatever, as long as they behave as they should in a decent society (working, going about your business, not beating women, just normal behavior).","I myself say that I am not a racist, I do not care if someone is white, black, yellow, blue or other, as long as he behaves the way he belongs in a decent society (works, works, does not beat women, just normal behavior).","or:male, they:neutral, they:neutral, business:female, women:female","or:male, he:male, he:male, behavior:male, women:female"
1,126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","""The young woman suffered serious multiple injuries and, despite resuscitation care, unfortunately succumbed to her injuries on the spot,"" Zuzana fajtlová, a spokeswoman for the South Bohemia ambulance service, told pravu.","woman:female, her:female, spokesperson:neutral, for:male","woman:female, her:female, spokeswoman:female, for:male"
2,129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","Štěpánka schwarzová, a spokeswoman for the South Bohemian police, described the accident after the collision with the ŠKODA Octavia.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
3,149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the data that is needed and filled it in on time, we would be about half here, says Matyáš vitik, a spokesman for the Czech post.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
4,241,"But unless they have an informed teacher, they will never know what the wider context of the event was.","But if they do not have an enlightened Cantor, they will no longer know what the wider context of the event was.","unless:female, they:neutral, they:neutral, never:male","cantor:male, they:neutral, they:neutral, longer:male"
5,338,"We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","We recommend both the courier teams and the organizers of local events, of course, to wear veils, try to observe the spacing, there were as few as possible, not to sing colleagues, just to behave in such a way as to be as safe as possible, described the spokeswoman of the Bethlehem light event, Zuzana hrbková.","courier:male, organizers:male, spokesperson:neutral","courier:male, organizers:male, spokeswoman:female"
6,398,"(c) if by such act they violate an important duty arising out of their employment, profession, position or office or imposed on them by law; or","(c) if by such an act he is in breach of an important obligation arising out of his employment, profession, position or function or imposed on him by law; or","or:male, or:male, them:neutral, or:male","or:male, or:male, him:male, or:male"
7,484,And the other things they’re going to need to survive?,And the other things he's gonna need to live?,"other:male, they:neutral","other:male, he:male"
8,642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can not leave Switzerland right away, "" Andrea replied on Instagram in Stories to the nosy questions of curious fans, what disappointed her so much about Kadri that she decided to end all contact and even block him on social networks.","reason:male, he:male, her:female, she:female","reason:male, she:female, her:female, she:female"
9,644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move to her, at least until he returned to the Czech Republic permanently.","his:male, him:male, he:male","his:male, her:female, he:male"
