,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,1,A desenvolvedora discutiu com ê designer porque ela não gostou do design.,O desenvolvedor discutiu com o designer porque ela não gostou do design.,"desenvolvedora:female, designer:neutral, ela:female, design:male","desenvolvedor:male, designer:neutral, ela:female, design:male"
1,2,A mecânica deu um presente para ê balconista porque ela ganhou na loteria.,O mecânico deu um presente para a balconista porque ela ganhou na loteria.,"mecânica:female, presente:male, ela:female, loteria:female","mecânico:male, presente:male, ela:female, loteria:female"
2,7,Ê cabeleireire fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,A cabeleireira fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,"cabeleireire:neutral, amizade:female, cozinheira:female, ela:female","cabeleireira:female, amizade:female, cozinheira:female, ela:female"
3,8,Ê auditore pegou a desenvolvedora trapaceando porque ela é desonesta.,O auditor pegou a incorporadora trapaceando porque ela é desonesta.,"auditore:neutral, desenvolvedora:female, ela:female","auditor:male, incorporadora:female, ela:female"
4,10,Ê mecânique deu um presente ao balconista porque era seu aniversário.,O mecânico deu um presente ao balconista porque era seu aniversário.,"mecânique:neutral, presente:male, balconista:female","mecânico:male, presente:male, balconista:female"
5,16,Ê desenvolvedore discutiu com o designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"desenvolvedore:neutral, designer:neutral, ideia:female","desenvolvedor:male, designer:neutral, ideia:female"
6,18,Ê vendedore conversou com o limpador porque queria comprar um aspirador.,O vendedor conversou com a faxineira porque queria comprar um aspirador.,"vendedore:neutral, limpador:male","vendedor:male, aspirador:male"
7,24,"Ê vendedore tentou enganar o escritor, mas percebeu o truque.","O vendedor tentou enganar o escritor, mas percebeu o truque.","vendedore:neutral, escritor:male, truque:neutral","vendedor:male, escritor:male, truque:neutral"
8,25,Ê secretárie foi a uma reunião com a trabalhadora da construção porque ela tinha um contrato para construir uma casa.,A secretária foi a uma reunião com o pedreiro porque ela tinha um contrato para construir uma casa.,"secretárie:neutral, ela:female, casa:female","secretária:female, ela:female, casa:female"
9,26,Ê auditore examinou o relatório financeiro da mecânica e a ajudou a identificar alguns erros.,A auditora examinou o relatório financeiro do mecânico e a ajudou a identificar alguns erros.,"relatório:male, mecânica:female, erros:male","relatório:male, mecânico:male, erros:male"
