,System,Score
rank 1,refB,2.514662482584918
rank 2,refA,1.4339156497930778
rank 3,HuaweiTSC,1.056243248539674
rank 4,Online-G,0.9611357951750692
rank 5,Online-W,0.9458659978827602
rank 6,LanguageX,0.9380162548167479
rank 7,Lan-Bridge,0.9216735785081198
rank 8,comet_bestmbr,0.9193384090155818
rank 9,AISP-SJTU,0.9118343931405188
rank 10,chrf_bestmbr,0.9085712055329827
rank 11,JDExploreAcademy,0.8962946954393547
rank 12,bleurt_bestmbr,0.8873885147791476
rank 13,Online-B,0.8512424608572611
rank 14,Online-A,0.8381616295594654
rank 15,Online-Y,0.8380842201365138
rank 16,bleu_bestmbr,0.8293639893265183
rank 17,NiuTrans,0.8168320232689295
rank 18,DLUT,0.7892744546783961
rank 19,M2M100_1.2B-B4,0.7214448993461331
rank 20,QUARTZ_TuneReranking,0.6670251102481153
