,reference,system output,identity term and its gender in reference,identity term and its gender in output
88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, it is not yet possible to say with absolute certainty whether it can cause a more severe course, to which vaccination or post-infectious immunity obtained by previous disease helps against it.","whether:male, illness:female","whether:male, or:male"
126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","“The young woman suffered severe multiple injuries and, despite resuscitation care, unfortunately succumbed to her injuries at the scene,” Zuzana Fajtlová, a spokeswoman for South Bohemian health paramedics, told Pravo.","woman:female, spokesperson:neutral","woman:female, spokeswoman:female"
129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After colliding with Skoda Octavia, the Peugeot vehicle ended up on its roof off the roadway, South Bohemian police spokeswoman Štěpánka Schwarzová described the accident.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the data needed and filled them in on time, we would be about half of it here, says Matyáš Vitík, a spokesman for the Czech Post.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
449,"""We are still waiting for official confirmation of the variant in our six cases - it is being carried out by the National Reference Laboratory for Influenza and Non-Influenza Viruses of the National Institute of Public Health in Prague,"" the director said.","“We continue to wait for official confirmation of the variant in our six cases — it is carried out by the National Reference Laboratory for Influenza and Nonspray Viruses of the State Institute of Health in Prague,” she said headmistress.","for:male, for:male, director:male","for:male, for:male, headmistress:female"
642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right away,” Andrea replied on Instagram in Stories to all kinds of questions from curious fans, what disappointed her so much about Kadri that she decided to quit all contact and even block it on social networks.","reason:male, he:male, she:female","reason:male, she:female, she:female"
644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was that Kadri lived and worked in Switzerland and his idea was that Andrea would move to see her, at least until she returned to Bohemia permanently.","him:male, he:male","her:female, she:female"
725,"The intervening doctor intubated his airways, provided artificial pulmonary ventilation and after further measures as part of pre-hospital emergency care, the ambulance transported him to the Ostrava trauma center for further care, informed Lukáš Humpl, spokesman for the MS Region's Emergency Medical Services.","The intervening doctor intubated his airways, provided artificial pulmonary ventilation and after further precautions under pre-hospital emergency care, the ambulance vehicle transported him to further care Ostrava Traumatology Centre, informed the spokesperson of the ZZS MS region, Lukáš Humpl.","after:male, further:male, him:male, spokesman:male","after:male, further:male, him:male, spokesperson:neutral"
905,"However, they did not disclose what role he was supposed to have played in the case or what he is suspected of having done.","What role he should have played in the case and what he suspects it of, but did not disclose.",they:neutral,he:male
1024,"It’s always up to the customer to decide if they don't want it, the answer will always be no.","The decision is always up to the customer, if he doesn't want to, the answer will always be no.","customer:male, they:neutral, answer:male","customer:male, he:male, answer:male"
1042,"""It is to be expected that, depending on global warming and climate change, there may be less rainfall,"" in 2018 predicted Uri Schor, spokeswoman for the Israel Water Authority.","“It is to be expected that depending on global warming and climate change, rainfall may wane here,” Uri Schor, a spokeswoman for the Israel Water Authority, projected in 2018.","less:female, spokeswoman:female, water:male","schor:male, spokeswoman:female, water:male"
1170,Dara has now sent her fans a lengthy message explaining why she kept her love a secret from them for six months.,Dara has now sent fans a comprehensive message explaining why she kept love from them for a long half year.,"her:female, she:female, for:male","them:neutral, she:female, for:male"
1204,"But it looks like you're taking it from a book, so I suppose the author or printer just created their own character to match what's actually on the coin.","But since it looks like you're drawing from a book, I'd guess that the author or printer simply created his own character that fits with what's physically on that coin.","author:male, or:male, printer:male, their:neutral","author:male, or:male, printer:male, his:male"
1219,"So if you're looking for relatively cheap housing with good access to the city center, I'd go for it.","So if you're looking for relatively cheap housing with good downtown accessibility, I'd feel free to go for it.","for:male, access:female","for:male, for:male"
1226,"He does visit, but he doesn’t live in their house in Vinohrady, where Dáda stayed alone after he left.","She visits but does not live in their house in Vinohrady, where Dáda was left alone after his departure.","he:male, their:neutral, after:male","she:female, their:neutral, after:male"
1342,"Antonín Seknička, deputy mayor of the village of Cejle from the Hrádek locality and spokesman for the Platform Against Deep Geological Repository said: After the ministers of industry, who only postponed the status of local governments in relation to state authorities in the search for a deep repository for highly radioactive waste to their successors, we expect a more significant turn from the new government.","Antonín Seknička, Vice-Mayor of Cejle from Hrádek locality and spokesperson of Platform Against Deep Storage said: After the Ministers of Industry who straighten the position of self-governments to the state authorities in search of a deep-sea repository of highly radioactive wastes only condemned on their successors, we are waiting for a more significant reversal from the new government.","mayor:male, spokesman:male, after:male, ministers:male, their:neutral, successors:male","vice-mayor:male, spokesperson:neutral, after:male, ministers:male, their:neutral, successors:male"
1379,"""The Czech police are cooperating closely with the British police,"" police spokesperson Kateřina Rendlová confirmed.","“The Czech police are working closely with the British police,” police spokeswoman Kateřina Rendlová confirmed.",spokesperson:neutral,spokeswoman:female
