,reference,system output,identity term and its gender in reference,identity term and its gender in output
88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, we cannot say certainly if it can cause more serious complications, if vaccination is effective or whether people will get post-infectious immunity after being infected.","whether:male, illness:female","whether:male, or:male"
126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","“A young woman was seriously wounded and despite the resuscitation given, she died on the spot,” Zuzana Fajtlová, the spokeswoman of southern Bohemia paramedics, said to Právo.","woman:female, spokesperson:neutral","woman:female, spokeswoman:female"
129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After the crash with a Škoda Octavia, the Peugeot car ended up on its roof outside the road, as the accident was described by Štěpánka Schwarzová, the spokeswoman of the southern Bohemia police.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all details needed in time, we would processes half of the packages, Matyáš Vitík, the spokesman of česká pošta, says.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
166,For he himself called them to her.,It was him who called the police.,them:neutral,him:male
280,The carrier will replace České dráhy after its success in the Ministry of Transport competition.,"The train operator will replace České dráhy there, after a successful winning the tender put by the Ministry of Transport.","carrier:male, success:female","after:male, operator:male"
338,"We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","We give recommendations to both courier teams and local events organizers, they should, of course, wear face masks, try to keep distance, avoid gathering, not sing together with their colleagues, just behave in a safe manner, Zuzana Hrbková, the spokeswoman of the Peace Light of Betlehem event, said.","courier:male, organizers:male, spokesperson:neutral","courier:male, organizers:male, spokeswoman:female"
449,"""We are still waiting for official confirmation of the variant in our six cases - it is being carried out by the National Reference Laboratory for Influenza and Non-Influenza Viruses of the National Institute of Public Health in Prague,"" the director said.","“We are still waiting for an official confirmation of the Omicron variant in those six cases – it is done by the National Reference Laboratory for Influenza and Non-Influenza Viruses of the National Institute of Public Health in Prague,” the directress said.","for:male, for:male, director:male","for:male, for:male, directress:female"
507,"They had it, it's true, in that narrow sector were all selected, less usual and special cheeses, but it was between the vegetables and the lactose-free zone...","They had it, that's truth, there was almost no one left at the narrow section, less common and special cheese, but it was between the vegetable and lactose-free products section...","they:neutral, sector:male","they:neutral, less:female"
624,"In May, she and her partner, Russell Cox (43), pleaded guilty to possession of cocaine with intent to supply.","In May, she and her boyfriend Russell Cox (43) confessed to keeping cocaine, which they intended to sell.","she:female, her:female, partner:neutral","she:female, her:female, boyfriend:male"
762,"Most nouns in Czech express only one grammatical gender, so it is not difficult to determine whether they are masculine, feminine or neuter.","Most similar nouns in Czech language only have one gender, and thus it's not difficult to determine whether it's a masculinum or a femininum or a neutrum.","express:female, gender:male","or:male, gender:male"
940,"The presence of media, social networks and video games, which make sex less and less of a priority for young people, may also have contributed.","However, there might be also the influence of media, social networks or video games, which are for young people more important than sex.","less:female, people:neutral","or:male, people:neutral"
992,"At the same time, they informed her that she would answer for her actions in court.","At the same time, she was told that she would confess before the court of law.","they:neutral, she:female","she:female, she:female"
1000,"Julie and Ivan, the owners of a poorly-run guesthouse in the Šumava Mountains, start inviting dog walkers, Julie's father and his partner and especially her daughter Veronika.","Julie and Ivan, the owners of a declining guest house in Šumava, start inviting dog owners, Julia's father with his girlfriend and mainly her daughter Veronika.","father:male, partner:neutral, her:female, daughter:female","father:male, girlfriend:female, her:female, daughter:female"
1002,"The director and his partner Beatriz Šajmovič (who is also the producer of the film) had already struggled with the narrative techniques in their previous dog film, but there at least the children and the dog had fun.","The director and his girlfriend Beatriz Šajmovičová (who is the movie producer) had already trouble with dialogues in the previous movie, however the children and the dog were amusing at least there.","director:male, partner:neutral, children:neutral","director:male, girlfriend:female, children:neutral"
1172,"Apparently, he picked her up, not the other way around.",But she says it was him who picked her up.,he:male,she:female
1196,We cannot let a private actor take over a piece of education just because he throws in a few crowns on top of the full state contribution and thanks to that he can teach whatever he wants in schools.,We can't still let a private partaker gain control over a part of the education system just because that there will be some more money to state funds and they could teach at schools whatever they want.,"he:male, he:male","they:neutral, they:neutral"
1316,The death of an investigative reporter and his partner changed Slovakia.,The deaths of the investigative journalist and his girlfriend have changed Slovak.,"his:male, partner:neutral","his:male, girlfriend:female"
1379,"""The Czech police are cooperating closely with the British police,"" police spokesperson Kateřina Rendlová confirmed.","“The Czech police cooperates closely with the British police,” Kateřina Rendlová, the police spokeswoman, confirmed.",spokesperson:neutral,spokeswoman:female
