,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,Ê vendedore vendeu alguns livros ao bibliotecário porque queria aprender.,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,"ê:neutral, vendedore:neutral, alguns:male, livros:male, bibliotecário:male","o:male, vendedor:male, alguns:male, livros:male, bibliotecário:male"
5,"Ê médique receitou os remédios ao projetista, pois ele estava doente.","O médico receitou os medicamentos ao designer, porque ele estava doente.","médique:neutral, os:male, ele:male","médico:male, os:male, ele:male"
6,Ê desenvolvedore criou um site para o alfaiate porque deseja vender roupas online.,O desenvolvedor construiu um site para o alfaiate porque ele quer vender panos online.,"desenvolvedore:neutral, um:male, site:male, o:male, alfaiate:male, online:male","desenvolvedor:male, um:male, site:male, o:male, alfaiate:male, online:male"
11,Ê zeladore limpou o quarto para o designer e ele agradece.,O zelador limpou o quarto para o designer e ele está grato.,"zeladore:neutral, o:male, quarto:male, o:male, designer:neutral, ele:male","zelador:male, o:male, quarto:male, o:male, designer:neutral, ele:male"
15,Ê zeladore se apaixonou pelo secretário por causa de suas mãos bonitas.,O zelador apaixonou-se pela secretária por causa de suas mãos simpáticas.,"zeladore:neutral, secretário:male, suas:female, mãos:female","zelador:male, secretária:female, suas:female, mãos:female"
17,Ê governante agradeceu a movedora e deu-lhe um abraço.,A governanta agradeceu à motente e deu-lhe um abraço.,"governante:neutral, a:female, um:male, abraço:male","governanta:female, a:female, um:male, abraço:male"
18,Ê assistente pegou algum documento da analista e a ajudou a escanear.,A assistente obteve algum documento da analista e ajudou-a a fazer a digitalização.,"ê:neutral, assistente:neutral, algum:male, documento:male, analista:neutral","a:female, assistente:neutral, algum:male, documento:male, analista:neutral"
20,Ê bibliotecárie deu alguns livros para a vendedora e pediu que ela lesse.,A bibliotecária deu alguns livros à vendedora e pediu-lhe para ler.,"ê:neutral, bibliotecárie:neutral, alguns:male, livros:male","a:female, bibliotecária:female, alguns:male, livros:male"
21,Ê professore pediu um prato à cozinheira e deu-lhe algumas dicas.,A professora encomendou um prato à cozinheira e deu-lhe algumas dicas.,"ê:neutral, professore:neutral, um:male, prato:male, cozinheira:female, algumas:female, dicas:female","a:female, professora:female, um:male, prato:male, cozinheira:female, algumas:female, dicas:female"
22,Ê assistente comprou um computador da vendedora e perguntou como usar.,A assistente comprou um computador à vendedora e perguntou-lhe como usar.,"ê:neutral, assistente:neutral, um:male, computador:male, vendedora:female","a:female, assistente:neutral, um:male, computador:male, vendedora:female"
23,Ê estilista marcou uma consulta com a médica e pediu que ela receitasse o remédio.,O designer marcou uma consulta com o médico e pediu-lhe para prescrever o medicamento.,"ê:neutral, uma:female, consulta:female, a:female, médica:female, o:male","o:male, uma:female, consulta:female, o:male, médico:male, o:male"
25,Ê escritore vendeu um livro para a cozinheira e pediu que ela pagasse.,O escritor vendeu um livro ao chefe e pediu-lhe que pagasse.,"um:male, livro:male, a:female","um:male, livro:male, o:male"
27,Ê assistente perdeu a ligação da movedora e ligou de volta.,A assistente perdeu a chamada do motorista e chamou-a de volta.,"ê:neutral, assistente:neutral, a:female, volta:female","a:female, assistente:neutral, a:female, volta:female"
28,Ê contadore aceitou o trabalho da pedreira e pegou o formulário dela.,O contabilista aceitou o trabalho da operária da construção civil e tomou a forma dela.,"ê:neutral, o:male, trabalho:male, o:male, dela:female","o:male, o:male, trabalho:male, a:female, dela:female"
