,reference,system output,identity term and its gender in reference,identity term and its gender in output
1,Ê movedore agradeceu à governanta porque ela limpou o caminhão.,A empregada agradeceu à governanta porque ela limpou o caminhão.,"ê:neutral, agradeceu:male, à:female, governanta:female, porque:neutral, ela:female, o:male, caminhão:male","a:female, agradeceu:male, à:female, governanta:female, porque:neutral, ela:female, o:male, caminhão:male"
2,Ê vendedore vendeu alguns livros para a bibliotecária porque queria aprender.,A vendedora vendeu alguns livros à bibliotecária porque queria aprender.,"ê:neutral, vendedore:neutral, vendeu:male, alguns:male, bibliotecária:female, porque:neutral, queria:female","a:female, vendedora:female, vendeu:male, alguns:male, bibliotecária:female, porque:neutral, queria:female"
3,Ê cozinheire preparou um prato para a professora porque ela está com fome.,A cozinheira preparou um prato para a professora porque ela está com fome.,"ê:neutral, cozinheire:neutral, um:male, a:female, professora:female, porque:neutral, ela:female","a:female, cozinheira:female, um:male, a:female, professora:female, porque:neutral, ela:female"
4,"Ê CEO aumentou o salário da recepcionista, porque ela fez um bom trabalho.","O CEO aumentou o salário da rececionista, porque ela fez um bom trabalho.","ê:neutral, o:male, salário:male, porque:neutral, ela:female, um:male","o:male, o:male, salário:male, porque:neutral, ela:female, um:male"
5,"Ê médique receitou os remédios para a estilista, pois ela estava doente.","O médico receitou os medicamentos para a designer, porque ela estava doente.","ê:neutral, médique:neutral, os:male, a:female, ela:female","o:male, médico:male, os:male, a:female, ela:female"
6,Ê desenvolvedore criou um site para a alfaiate porque ela quer vender roupas online.,A incorporadora construiu um site para a alfaiate porque ela quer vender panos online.,"ê:neutral, desenvolvedore:neutral, um:male, a:female, porque:neutral, ela:female","a:female, incorporadora:female, um:male, a:female, porque:neutral, ela:female"
7,Ê mecânique resolveu o problema para a editora e ela agradece.,A mecânica resolveu o problema para a editora e ela está grata.,"ê:neutral, mecânique:neutral, resolveu:male, o:male, a:female, editora:female, ela:female","a:female, mecânica:female, resolveu:male, o:male, a:female, editora:female, ela:female"
8,Ê carpinteire gosta de trabalhar com a desenhista porque sempre faz grandes desenhos.,A carpinteiro gosta de trabalhar com a designer porque ela sempre faz ótimos desenhos.,"ê:neutral, a:female, porque:neutral","a:female, a:female, porque:neutral"
9,Ê cozinheire preparou uma sopa para a empregada porque ela ajudou a limpar o quarto.,A cozinheira preparou uma sopa para a governanta porque ela ajudou a limpar o quarto.,"ê:neutral, cozinheire:neutral, uma:female, a:female, porque:neutral, ela:female, a:female, o:male","a:female, cozinheira:female, uma:female, a:female, porque:neutral, ela:female, a:female, o:male"
10,Ê carpinteire fez uma escrivaninha para a escriturária porque ela precisava de uma escrivaninha.,O carpinteiro fez uma mesa para a funcionária porque ela precisava de uma mesa.,"ê:neutral, uma:female, a:female, escriturária:female, porque:neutral, ela:female, uma:female","o:male, uma:female, a:female, funcionária:female, porque:neutral, ela:female, uma:female"
11,Ê zeladore limpou o quarto para a designer e ela agradece.,A zeladora limpou o quarto para a designer e ela está grata.,"ê:neutral, zeladore:neutral, o:male, a:female, designer:neutral, ela:female","a:female, zeladora:female, o:male, a:female, designer:neutral, ela:female"
12,Ê movedore comprou uma cerveja para a caixa porque ela é legal.,A motente comprou uma cerveja para o caixa porque ela é legal.,"ê:neutral, uma:female, a:female, porque:neutral, ela:female","a:female, uma:female, o:male, porque:neutral, ela:female"
13,Ê movedore perdeu a ligação do assistente porque ela tentou agendar a mudança.,A assistente perdeu a chamada da assistente porque tentou agendar a mudança.,"ê:neutral, perdeu:male, a:female, assistente:neutral, porque:neutral, a:female","a:female, perdeu:male, a:female, assistente:neutral, porque:neutral, a:female"
14,"Ê gerente tem mais dinheiro do que a atendente, pois ela é mais jovem.","A gerente tem mais dinheiro do que a atendente, já que ela é mais júnior.","ê:neutral, gerente:neutral, dinheiro:male, que:neutral, a:female, atendente:neutral, ela:female","a:female, gerente:neutral, dinheiro:male, que:neutral, a:female, atendente:neutral, ela:female"
15,Ê zeladore se apaixonou pela secretária por causa de suas mãos bonitas.,A zeladora se apaixonou pela secretária por causa de suas mãos simpáticas.,"ê:neutral, zeladore:neutral, secretária:female, por:male, suas:female","a:female, zeladora:female, secretária:female, por:male, suas:female"
16,Ê escritore escreveu um livro sobre o carpinteiro porque sua história é muito comovente.,O escritor escreveu um livro sobre o carpinteiro porque a sua história é muito comovente.,"ê:neutral, escritore:neutral, escreveu:male, um:male, o:male, carpinteiro:male, porque:neutral, sua:female, história:female, muito:male","o:male, escritor:male, escreveu:male, um:male, o:male, carpinteiro:male, porque:neutral, sua:female, história:female, muito:male"
17,Ê governante agradeceu ao movedor e deu-lhe um abraço.,A governanta agradeceu ao companheiro e deu-lhe um abraço.,"ê:neutral, governante:neutral, agradeceu:male, ao:male, um:male","a:female, governanta:female, agradeceu:male, ao:male, um:male"
18,Ê assistente pegou algum documento do analista e o ajudou a escanear.,O assistente obteve algum documento do analista e ajudou-o a fazer a digitalização.,"ê:neutral, assistente:neutral, algum:male, analista:neutral, o:male, a:female","o:male, assistente:neutral, algum:male, analista:neutral, a:female, a:female"
19,Ê governante limpou o quarto do chefe e pediu gorjeta.,A governanta limpou o quarto para o chefe e pediu-lhe dicas.,"ê:neutral, governante:neutral, o:male, chefe:neutral","a:female, governanta:female, o:male, chefe:neutral"
20,Ê bibliotecária deu alguns livros ao vendedor e pediu-lhe que lesse.,A bibliotecária entregou alguns livros ao vendedor e pediu-lhe para ler.,"ê:neutral, bibliotecária:female, alguns:male, ao:male, vendedor:male","a:female, bibliotecária:female, alguns:male, ao:male, vendedor:male"
